"","B-cells","CAFs","Cancer Epithelial","Cycling T-cells","Endothelial","Myeloid","NK cells","NKT cells","Normal Epithelial","Plasmablasts","PVL","T cells CD4+","T cells CD8+"
"mix_0097_depth25",8.76838091237491e-05,0.051252154696927,0.505452203994088,0.000105168378329398,8.76838091182549e-05,0.00593045584862902,0.0115098324482612,8.76838091217249e-05,0.246242501204946,0.000902222346993452,0.038660155795152,8.7683809118252e-05,0.0519712672688998
"mix_0098_depth100",6.13786663659899e-05,0.231271086381133,0.527311978960347,6.13786663827791e-05,6.13786663827787e-05,0.00510743419273735,0.0213985654213221,6.13786663570607e-05,0.160704155780341,6.13786613925263e-05,6.13786663827747e-05,6.13786663827769e-05,0.0153550536662098
"mix_0098_depth25",6.13786663845438e-05,0.265846297024415,0.498168077317576,6.13786663827786e-05,6.13786663827786e-05,0.00483439226614403,0.0193144361741876,6.13786663853282e-05,0.17741382701522,6.13786654515765e-05,7.13922898731806e-05,6.13786663827765e-05,0.012588715506959
"mix_0099_depth100",8.7683809109125e-05,0.133089371727805,0.511980379960293,8.76838091182553e-05,8.76838091182551e-05,0.00875022396629229,0.00182842833285442,0.0306880031842078,0.163458752783579,0.000409856598313276,8.7683809118255e-05,8.76838091182547e-05,0.0223144792588004
"mix_0099_depth25",8.76838091189137e-05,0.1463606090201,0.536786603473468,8.7683809118255e-05,0.00101812674471965,0.00848510186975633,0.0213896809499044,0.019470915421144,0.142486277670828,0.000185671920978748,8.7683809118255e-05,8.7683809118254e-05,0.016775748157986
"mix_0100_depth100",6.13786664004158e-05,0.0969867313071585,0.604855772160994,6.13786663827794e-05,6.13786664003262e-05,6.13786664078956e-05,0.00393318515913178,0.00553233986155678,0.19434111072171,6.13786663906115e-05,0.0109165779914533,6.1378666382775e-05,0.0302782019737781
"mix_0100_depth25",6.13786663598785e-05,0.114032407522435,0.56869510266848,0.00313336116269454,6.13786663827792e-05,6.13786663857117e-05,0.00322263789841827,0.0208516724574835,0.23481822494696,6.13786662045382e-05,6.13786663827786e-05,6.13786663827779e-05,0.013212893172619
"mix_0101_depth100",6.13786663834423e-05,0.02671229067485,0.656310952748838,0.00610250860317321,6.13786663827783e-05,6.13812149012021e-05,6.1378666378373e-05,0.0088919380779167,0.169999349442399,6.13786661112972e-05,0.0141724054300313,6.13786663827784e-05,0.0296542455351786
"mix_0101_depth25",8.76838091192179e-05,0.0290838522099206,0.620544119508034,8.76838091182546e-05,8.76838091182546e-05,0.00242656513895573,8.76838091207181e-05,0.0103754090145042,0.179100712792785,8.7683806111202e-05,0.0167392111360369,0.00895181521664874,0.0157337328155692
"mix_0102_depth100",6.13786663917535e-05,0.100645420415015,0.536642679433338,6.13786663827777e-05,6.13786663827788e-05,6.13786663989078e-05,0.00269616254613805,6.13786663906108e-05,0.2336524569471,6.13786663701685e-05,0.0201594501001804,0.0211411817682168,0.0465390314632666
