"","B-cells","CAFs","Cancer LumA","Cancer LumB","Cancer Other","Cycling T-cells","Endothelial","Myeloid","NK cells","NKT cells","Normal Epithelial","Plasmablasts","PVL","T cells CD4+","T cells CD8+"
"ACYP2",6.06460818813518e-05,9.62951777040344e-06,3.75476406253863e-05,1.55274873828604e-05,1.68158623014045e-05,0.000100108244663219,2.95887278068555e-05,2.3118672165763e-05,3.00640513637574e-05,3.39013269187656e-05,3.42704677062172e-05,1.10260580359241e-05,3.13152502902867e-05,2.13477104632142e-05,1.25754846456717e-05
"C2orf73",0,0,0,0,0,0,0,0,0,0,0,0,4.72234653992909e-07,0,0
"SPTBN1",6.01740718056248e-05,0.000191623494382584,4.91415325279114e-05,1.83951646718262e-05,4.63380294622687e-05,5.27941595734018e-05,0.000334422680423344,1.85998630360506e-05,2.41345765441643e-05,1.03777501037775e-05,6.95753429596386e-05,2.42069201857047e-05,0.000113393204155362,4.36279820357401e-05,3.19408610012293e-05
"AC093110.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EML6",0,0,0,0,0,0,0,0,1.15606936416185e-05,0,0,4.52168691478067e-07,0,0,0
"RTN4",0.000129808924655659,0.00036164581644032,0.000229512012971298,0.000345247267049493,0.000317401712979162,0.000359296494858418,0.000350645469700701,0.000348349973099626,0.000139031445190964,0.000181506014125321,0.000496978566854858,5.35871671459814e-05,0.000226927411748306,0.000217685038828151,0.000162023867337103
"CLHC1",2.4381680580479e-06,2.18222652464782e-06,4.30485890440479e-06,4.27269906281419e-06,2.20231470166713e-06,0,3.20539341802438e-07,1.21920460859271e-06,4.95294700346706e-06,0,9.16691672012722e-06,2.3106107868554e-06,3.61923744708051e-06,6.43707756678468e-06,0
"AC012358.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPS27A",0.00527821698595329,0.00357539495350627,0.0026734692175305,0.00332594725255481,0.00247992814021352,0.00308358773878331,0.00329235752786989,0.00284581248257304,0.00606362844159971,0.00381250605232678,0.00467000248796112,0.0014177281090462,0.00389936307846514,0.0056253875150645,0.00485534271895607
"MTIF2",5.64433977865983e-06,7.79361500411068e-06,5.45847757640671e-06,2.3807454461684e-05,4.29890999212604e-05,9.71779339642646e-06,1.49491837185002e-05,1.7900510921128e-05,2.26425863080885e-05,3.57069434713013e-05,1.70563763369727e-05,3.53181122324714e-06,1.59802853560189e-05,2.13440048227578e-05,2.56207362252794e-05
"AC012358.8",2.75148580233326e-06,2.92235649476197e-07,0,1.5045159550908e-07,0,0,2.4133533516596e-06,2.38163501178791e-07,0,0,0,4.87369336280943e-07,1.57376524569474e-06,7.09234540412184e-06,0
"CCDC88A",1.68682976445198e-05,4.1843291508456e-05,1.51796078227243e-06,5.51799219205704e-06,4.04996631392098e-06,3.99113492102992e-05,5.63352771944584e-05,0.00013071773253421,0,6.27700837002275e-05,4.06168619100806e-06,1.27217718679735e-05,2.79678223083404e-05,9.54713987562457e-06,7.42574580876202e-06
"CFAP36",1.52562060487099e-05,8.38545369999341e-05,4.99358272146039e-05,9.6098197157617e-05,6.21328772995062e-05,1.55446931330686e-05,0.000121049748672018,2.50702930867204e-05,4.92527091014001e-05,0,5.32328346384328e-05,1.5059848928132e-05,7.64881635765852e-05,5.92715759183978e-05,3.79246218530331e-05
"PPP4R3B",6.4292745848445e-05,3.35391565633351e-05,3.74748292512304e-05,2.37650738584067e-05,2.32777985413513e-05,4.06346947353699e-05,3.58253042065521e-05,2.19930306302174e-05,2.24471939287802e-05,6.36255800503741e-05,4.97503661235317e-05,1.47274849447521e-05,2.89792093259598e-05,4.71373699573925e-05,5.41745978690784e-05
"RP11-554J4.1",2.73802239310201e-05,1.74242213592338e-06,0,1.20524771248246e-05,1.65340244179656e-06,5.94876919965259e-06,1.24177606206071e-06,2.63093403781273e-06,3.33846432282409e-05,2.29726625315874e-05,1.88858839349117e-06,1.29251579591919e-05,1.23978682290698e-06,1.94882419411763e-05,1.90730497806599e-06
"PNPT1",1.26522946314877e-05,2.38365000888039e-05,1.71251468408519e-05,1.80949140825883e-05,1.39636454128007e-05,5.18871351037224e-06,2.32210588465375e-05,1.06640617661291e-05,1.08363095396486e-05,3.24341890033753e-05,1.01097489567371e-05,1.26228275292713e-05,1.35971910380094e-05,2.10172370559178e-05,2.47491713574546e-05
"EFEMP1",1.55684174914709e-05,0.000410345322740624,2.08018954662961e-06,2.3046286827203e-05,3.55562786134758e-05,0.000194488830994539,3.77498226212144e-05,8.58577163095145e-06,2.90442524221e-05,0,0.000100214869699435,5.52813426998887e-06,8.67749552698597e-06,8.59513183158648e-06,4.21337686496308e-06
"AC007743.1",0,0,0,1.13604514158303e-06,0,0,5.19449736136249e-06,1.00511806116746e-07,0,0,0,0,0,0,0
"CCDC85A",0,6.42104341960035e-07,3.82591475708885e-07,1.05908087781546e-06,0,0,1.45238015077022e-05,0,0,0,0,0,2.30790352607285e-06,1.16160478023599e-06,0
