gene,CID4471,CID4535,CID4067,CID4463,CID3941,CID3948,CID4461,pooled_reference_log2ratio,pooled_reference_mean_cp10k,reference_direction_agrees,both_reference_abs_log2ratio_ge_0_5,magnitude
DUSP2,1.3498486276574826,2.1751024150806373,0.789993378649115,1.3654004679406013,0.602621307605288,0.6588983512614827,0.6130258588641803,1.4811914985688095,11.359054773097384,True,True,1.4811914985688095
PMAIP1,-1.7737532146982935,-1.2010624428583023,-0.7207357828977778,-1.9215274394034432,0.14647948419027101,-1.3709460901440926,-3.036817092235639,-1.447607387493189,1.1350307002743405,True,True,1.447607387493189
CD69,0.37998477424303057,1.9916638948070644,0.5405016410764023,1.1038942119513888,1.137683635659258,0.724115827153994,2.198742519654647,1.358559095866826,10.107859657878803,True,False,1.358559095866826
ISG15,0.7668407870859424,1.537551656500044,0.5651978516337702,0.8997007130116772,-0.2780554757247073,0.15291174819057723,0.5980341334907843,1.3222393218936321,3.924641708062413,True,True,1.3222393218936321
TPSAB1,0.0,1.3445677163700869,0.0,0.0,0.0,0.0,0.0,1.3204060975087697,1.2088784163853683,False,False,1.3204060975087697
GZMM,1.2758391971899619,1.6685864831448405,1.5754336949203238,0.6694155187668882,1.2866521465202942,1.2953070800296436,1.4702102758313227,1.3176931776928729,1.8492525999586282,True,True,1.3176931776928729
IL6ST,-1.121347565582985,-1.4844068005498474,-0.5942597185513249,-0.750527392847262,-1.1480919576489022,-1.6804470185904372,0.9304551730801817,-1.3139412680835463,1.6580710325089174,True,True,1.3139412680835463
SELL,-1.927858058473,-0.021101843603710625,-1.9446540027492867,-2.186902611482509,-3.9553039638413203,-1.9153594869510393,0.6716794441652657,-1.2804023361009877,1.0483191542856496,True,False,1.2804023361009877
MT1X,1.4007148123888271,-0.06240447344152923,0.440463462089914,1.6284081486540531,-0.1461430798456233,0.15800082943208557,3.704975869415063,1.2800939458154128,4.005268445087332,False,False,1.2800939458154128
MYC,-0.016601217645792195,-2.4465088819115173,0.0009112207981173127,0.03967035475675977,-0.07109835614784178,0.990380711686154,-2.6633538531104413,-1.246570234486774,1.098505282861447,True,False,1.246570234486774
CD7,0.6407399509015964,2.383700943105331,-0.12000901039020798,0.06686892737980597,0.07152966441832945,0.23135547448008145,-5.421220637847032,1.2426674537640972,6.515178401995293,True,True,1.2426674537640972
IFI27,0.7301290459682509,-1.9005184136731783,0.25248529802714903,2.2262756003283632,-0.5938893360086707,-0.45939593137580714,1.1950354278245632,-1.2108256621017783,4.427122875683913,False,True,1.2108256621017783
ADGRE5,1.0807686724852572,1.471199066933014,0.4713807216362082,0.5836466615909726,0.9055332783945452,0.5659041762324473,-4.4155334251177845,1.1744717470224033,1.942388530954911,True,True,1.1744717470224033
TPSB2,0.0,1.1848718535263647,0.0,0.0,0.0,0.0,0.0,1.1720844824987657,1.2194491068605153,False,False,1.1720844824987657
XBP1,-0.14344664471316565,-1.6383708132575303,0.25951285994773665,0.15390193089614987,-0.2125608697037044,0.05981588212979347,-0.31204152239385424,-1.1682041778307468,4.239881272891942,True,False,1.1682041778307468
BATF,-1.1639333657358906,-1.0493326393398401,-2.3529265477188854,-1.6488047289693302,-1.039545718001033,-1.2751921494872933,-1.2957337798900304,-1.1474465021650053,1.792602975165531,True,True,1.1474465021650053
RUNX3,1.179112057754174,1.0722560079556627,0.7142102400233392,0.9117235775725128,1.8246899355516464,0.8884429919604016,-3.2841082058228634,1.1417754239260711,1.7182960273719772,True,True,1.1417754239260711
MAGED2,0.2623261943115742,-1.5730655154183817,0.29250061204655653,0.5405199566747086,1.6776688607559351,0.5675644578030402,1.9735449140446542,-1.1303100548218317,2.1197163242704575,False,False,1.1303100548218317
FABP4,0.9430575509827779,1.9896004016986095,-0.5795577995398772,-1.1873218040397102,0.0,0.0,0.0,1.1252163903984969,1.3041742541390176,True,True,1.1252163903984969
GPR65,0.7403579624887485,1.5957346044978695,0.8486758761496482,0.9204259783101606,0.2358992392183536,0.18505027662961887,0.0,1.1232659815670167,1.1766480964584016,True,True,1.1232659815670167
FABP5,1.6465201418529276,0.10088756750438907,1.4355280607015704,1.0416054898047054,0.8017869618271817,0.3800625484059936,-3.3672543694293373,1.1228211189641677,1.1969302707643812,True,False,1.1228211189641677
CKLF,0.5205140089928575,1.4400535354208936,0.6160311524006679,0.5913572691630601,1.222606817621519,0.27951928340495125,-0.6350715536606758,1.1049329465443922,1.0959056276433987,True,True,1.1049329465443922
KRT18,-0.32913786231063,-1.3676886150666867,1.0024003954077711,-0.2544164263370181,0.09819932899045553,0.23844471411177495,-3.6391673366405377,-1.074340738388852,1.507225646305659,True,False,1.074340738388852
IGKC,-0.07112870705615529,-1.1589385027450114,0.0,0.720145515051147,0.46822480693598273,-0.25308813078389186,0.4278321915128328,-1.0695563388913962,5.632932150451573,True,False,1.0695563388913962
MT1E,1.3935734515633598,-1.8575484729389433,-1.2747964986591462,-0.5877773984636848,0.28191108804076404,-0.11350889555315512,0.0,1.0644230057444317,2.7593981685300664,False,True,1.0644230057444317
GSTP1,1.106359271519809,0.9567294270255475,0.5237187082513572,1.2029097244950229,1.4493319562162765,0.9837588790815599,0.8821094190018967,1.056909659768645,2.2741402087931313,True,True,1.056909659768645
MYEOV2,0.22148228357416372,-1.5473276509101213,0.5901550517688819,0.3146872018232089,0.9675211902010064,-0.18017851977483393,0.8374339246289882,-1.0478482519581604,2.3064107790389476,False,False,1.0478482519581604
ALOX5AP,0.8493142880198224,1.4407952514646831,1.2203102305454128,0.9886417894598728,1.6984054757862863,0.6611013163869416,-0.16099092058105613,1.0236806736982682,2.215765876354054,True,True,1.0236806736982682
CORO1B,-0.9770353336711505,-1.0831891596161467,-0.6926297943259035,-0.2308533206346341,-1.1786326287838256,-0.999601891996743,-4.747008228696612,-1.0142501591179922,1.3399888613439392,True,True,1.0142501591179922
CTD-3252C9.4,0.8313691825467955,1.1890878029893008,0.1630970800224837,0.8263107626464805,0.9505236336085804,0.6733173269152614,0.0,1.012907666615237,2.044985859708981,True,True,1.012907666615237
NR3C1,-1.0443725811753313,-0.7669417498481892,-0.6411624149678217,-1.1477073065592613,0.3294503774180926,-1.0849500124504985,-1.6071307473474135,-1.011499291303027,2.068135091011663,True,True,1.011499291303027
GABARAPL1,1.0852454829184577,0.8290723564572182,0.8153410703989108,1.062522627398144,0.712423408235709,0.9221520594191115,0.0,1.0111289123773495,1.0294711134868488,True,True,1.0111289123773495
SLC7A5,1.0398450745766572,0.9523010194402688,1.1294321196761932,0.8654697551909972,0.7644997178818627,1.1934630875529078,-2.7310793308820673,1.0071105717407962,1.1289307480722823,True,True,1.0071105717407962
PHPT1,-0.5302224072738081,-1.3062312015422681,0.12089933294433919,-1.042045374539993,-0.09304240288221194,-0.43936963566110265,0.327203912428485,-0.9873011910066756,1.4162515646298597,True,True,0.9873011910066756
RGS2,0.8905744844205312,1.0216344760076301,0.06132987079112906,0.7209848197388835,1.2704039734723378,0.6756747392173913,0.00014108133787010357,0.9871424353384712,2.073434698617044,True,True,0.9871424353384712
MYADM,1.0320147401829651,0.8984518108037578,0.6499465210903406,-0.8573735452154667,0.4312585407768375,0.7458985260601471,4.520970155538763,0.9859382244773437,2.8811695240696777,True,True,0.9859382244773437
HCST,0.5580153605795449,1.7924652992884673,0.7895011182802231,1.5541616606689155,0.7706565961369137,0.5605821561055067,-1.1770686472941054,0.9848119349737234,5.289324034208499,True,True,0.9848119349737234
HSPB1,-0.0669047437472746,-1.384099509437645,-0.08525706720493773,0.7894845276858955,-0.23141816872560442,-0.5778135759442222,-0.29478162797311686,-0.9829871383876119,4.939659355848246,True,False,0.9829871383876119
GIMAP4,0.6463062383948333,1.4275851931436312,0.7078858155623117,0.9205963839232305,0.175276717072901,0.1656578515277993,1.304741884549892,0.9775881450925132,1.2658817094739576,True,True,0.9775881450925132
PRDX1,0.09913812006997724,-1.6850892842811638,-0.14202037475056087,-0.6382803598293171,-0.12491810554651496,-0.1053460450684342,-2.235489666121098,-0.975863901383733,4.506714768846975,False,False,0.975863901383733
CFLAR,1.0007058963598239,0.922077800184788,0.4616468517909669,-0.07375571089345455,0.08914788868443217,-0.2433091823851465,-5.936317232637222,0.9717191614903153,1.3957942225267064,True,True,0.9717191614903153
