"","B-cells","CAFs","Cancer Epithelial","Cycling T-cells","Endothelial","Myeloid","NK cells","NKT cells","Normal Epithelial","Plasmablasts","PVL","T cells CD4+","T cells CD8+"
"IL1RL1",0,2.80239723258265e-07,4.56211386684485e-08,4.11911661425091e-06,2.90471405437939e-06,0,0,0,5.47013107366317e-07,0,1.87444721613881e-07,2.59627139304621e-06,2.69355479255454e-06
"IL18R1",2.23161982124725e-06,3.02454071276485e-06,1.0610309569685e-07,5.11914817374389e-06,7.6975953071244e-06,6.02439392867313e-06,2.80006250515006e-05,0,6.27544215629762e-07,0,2.37684308723658e-07,1.78948867777597e-05,4.00182798622509e-06
"IL18RAP",0,4.41969142244851e-08,0,0,2.03602638848865e-07,0,3.05224432895641e-05,5.28671169230099e-05,0,0,0,4.10698109618259e-06,6.61262945923052e-06
"SLC9A2",0,0,0,0,0,4.12163777398587e-07,0,0,1.17207920161181e-06,0,0,0,0
"MFSD9",7.07769723355304e-06,3.7707886335948e-06,1.32786488161984e-06,0,3.19190075252306e-06,2.38276542895779e-06,0,2.41465573923422e-05,3.53969379348921e-06,1.28603152678624e-06,1.83981336769533e-06,9.87605362448968e-07,7.58445461417244e-06
"TMEM182",0,8.59589147280567e-07,2.37788364715606e-07,0,6.87299105374016e-07,5.87234780106279e-07,0,0,1.82841570091963e-06,1.29209302980715e-06,1.31222499283368e-06,1.87521903548747e-06,1.79219404872329e-06
"LINC01102",0,0,4.96518922623513e-08,0,0,0,0,0,2.50295122979505e-08,0,0,0,0
"AC068057.1",0,0,0,0,0,0,0,0,5.10516552069931e-07,0,0,0,0
"POU3F3",0,0,0,0,0,0,0,0,4.91161889144786e-07,0,0,0,0
"AC010884.1",0,2.41942703129045e-07,2.87943425238946e-08,0,0,0,0,0,1.21242107754224e-07,0,0,0,0
"MRPS9",9.48064462154652e-06,1.22140373179031e-05,2.16048030002685e-05,2.05955830712545e-06,1.98812739500217e-05,1.94610670602852e-05,2.01706238206579e-05,9.61899982485709e-06,2.25489889476891e-05,9.95743379767601e-06,2.68998933826965e-05,1.28996925275452e-05,1.35615170192144e-05
"RP11-332H14.1",0,0,1.80582638436703e-07,0,0,5.04207104076414e-08,0,0,0,0,0,0,0
"TGFBRAP1",8.38961365829104e-07,6.91059685478306e-06,4.02326786201426e-06,7.93424101050494e-06,8.49700091179293e-06,5.47861671522992e-06,1.29918898722416e-05,1.24374583370101e-05,7.01833863517625e-06,4.82474651982118e-07,6.98674111264629e-06,6.91269449556534e-06,1.16874786621841e-05
"AC012360.4",0,8.0466642151163e-08,8.3330734324038e-07,0,0,0,0,0,5.0875251979396e-07,2.54764477883131e-07,0,0,0
"RP11-332H14.2",1.91584787113835e-05,5.61732204988178e-06,1.50210029966108e-05,2.05955830712545e-06,5.88898281690224e-06,5.2015956620936e-06,0,1.32909215286262e-05,9.57614251983724e-06,3.05445864557631e-06,4.08133643704834e-06,7.88688291605054e-06,2.36482055087227e-05
"C2orf49",1.55195710272551e-05,1.28782352043982e-05,1.40084181726192e-05,1.18173440758265e-05,1.26618407373684e-05,1.44813239804827e-05,4.46837507540383e-06,5.13862762782872e-05,1.44013922058648e-05,1.22801218513934e-05,1.54012886690841e-05,1.45495845293637e-05,7.53454154709601e-06
"FHL2",2.62687821792582e-06,0.000135338950658855,4.44217585263972e-06,4.04422767384113e-06,1.8244760603319e-05,3.67417940690929e-06,6.08494584398199e-06,2.5597444351156e-06,0.000224090121456033,2.76053864151977e-06,0.000128632260401831,1.28507008053249e-05,4.01769117174389e-06
