gene,CID4471,CID4535,CID4067,CID4463,CID3941,CID3948,CID4461,pooled_reference_log2ratio,pooled_reference_mean_cp10k,reference_direction_agrees,both_reference_abs_log2ratio_ge_0_5
MIB2,-0.4582614756076302,0.30995614781332714,0.3048603432373214,2.3578514183673924,1.301112806671054,0.18348584780894328,0.0,-0.18933352617777904,0.20224031341111073,False,False
MMP23B,0.8103382494404768,0.5004263089798123,-0.2930027813731203,0.0,0.0,0.0,0.0,0.7073238437604987,0.04522800135990641,True,True
CDK11B,-0.1460953977541604,0.6522510407027002,0.2816929471847739,-0.3088288388503806,-0.7668896120751183,-0.12820428229692968,0.0,0.23660072923332146,0.3327137409465473,False,False
RP11-345P4.10,0.0,0.0,0.0,0.0,0.0,0.1437182027334349,0.0,0.0,0.0,False,False
SLC35E2B,-0.3091695445959645,-0.9694412059804027,-0.556788399286424,-0.5665293788349324,0.6888145364436578,-0.4309821122202793,0.0,-0.6158369157547021,0.22434363025875428,True,False
RP11-345P4.7,-0.10919470849841567,0.0,0.0,0.0,0.0,0.0,0.0,-0.07005984787730016,0.0024880115165077073,False,False
CDK11A,0.9147135019042699,-0.11784172717762943,0.11898559189780832,2.652024885314156,0.1152159241908354,0.316908476387902,0.0,0.434471927109826,0.3262040436157461,False,False
SLC35E2,-0.7570871563806514,0.0,0.5183051697704608,-1.3567964705377145,-0.908342712174331,-0.45859393768714174,0.0,-0.5227883726624875,0.021836470442012274,False,False
NADK,-0.8771853510445374,0.39121657768443785,0.11712570617563495,-0.49292016764786384,-0.7069140250101796,-1.0973073070619397,-2.9493566040641674,-0.48230682777900946,0.06842929777752271,False,False
GNB1,-0.012725314090740562,-1.2653761761471392,0.8129525471126311,0.6406786445626981,-0.2900129284283995,0.7884398433091275,0.0,-0.5133946585884741,0.5541532348923489,True,False
RP1-140A9.1,0.3806575358641512,0.0,0.0,0.0,0.0,0.0,0.0,0.2470772161463423,0.00934001580330674,False,False
CALML6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
TMEM52,-0.19097628194085908,0.0,0.0,0.0,0.0,-0.06895787821939241,0.0,-0.1237644535928166,0.0044787102365861685,False,False
GABRD,-0.05803696934908244,0.0,0.0,0.0,0.0,0.0,0.0,-0.03700025151897969,0.0012989162102924562,False,False
PRKCZ,-0.26536701907812427,-1.1416710913491466,1.0447702010405682,0.23951930187116444,-0.1251928789243444,-0.7042727315750419,0.0,-0.6084797232872675,0.12922335922661468,True,False
RP11-181G12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
FAAP20,0.5145182693274596,0.3817376792003684,-0.5834937118250825,-1.2509888946524421,0.35068785681310494,-0.6548606759257961,0.14808723359400408,0.4685742818753933,1.0096683865172325,True,False
SKI,1.0840195521652332,-1.2751246791189512,-0.4697064835479924,0.032344882123385224,-0.11388693615454787,0.13321411906618394,4.568474377932588,0.7208736150988342,0.3557278497982069,False,True
MORN1,-0.09142600834243596,-0.2750782599058077,0.0,0.0,0.0,0.34706591311890006,0.0,-0.1670499243864853,0.016782044141797833,True,False
RER1,0.1278807710161689,-0.8880367352184007,0.2928162532513507,0.3527421062463021,0.7100626190270445,0.01805228185338308,4.2079930272524475,-0.34730155878176666,1.0298687343986437,False,False
PEX10,0.01031794597098147,-0.916696324303898,-0.28259471975268086,1.5686874032480214,-0.40278961122470186,-0.3090446446374087,0.0,-0.3813917648151203,0.09264497972017674,False,False
PLCH2,0.81124452532338,0.9056640297379146,-0.30877699713438894,0.0,1.5374939282198645,0.3668937648453299,0.0,0.8449608250141726,0.06632165853405458,True,True
PANK4,0.573609971162445,-0.23959434695914245,-0.3057625079529043,-0.6289838192061717,0.5473756738280822,-0.31456204879192107,0.0,0.2881532024483702,0.018419506801874333,False,False
HES5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
RP3-395M20.12,-0.7158465018494464,0.3624914845467712,-0.6593009755281346,-1.2597247004212213,0.1384222128164228,-0.009280688428297088,0.0,-0.34507148354258504,0.20911471856951397,False,False
RP3-395M20.8,0.39147644539254656,0.640195949310632,0.0,0.0,-0.45993186442150147,-0.060611702301435484,0.0,0.46450876118755585,0.07382098646874097,True,False
TNFRSF14,-0.7909663601480978,0.049232458862277555,-0.5494874677475371,-0.2299960501692193,-0.14909204974012766,0.07638085148253222,-2.7776920826929152,-0.5634267573145986,0.9108261752700744,False,False
RP3-395M20.9,0.0,-0.17451290041661233,-0.1988408029230088,0.0,0.0,-0.19150334765612767,0.0,-0.06654590642431757,0.002360323156564011,False,False
FAM213B,-0.6572221002333339,0.11342761517362106,0.41914689138631467,-0.34018712955849995,-0.5946937913460354,0.19396591735971686,0.0,-0.27331375632655514,0.08441761129443938,False,False
MMEL1,-0.09962231062765059,-0.6042379275677635,0.0,-0.5624112670528401,0.0,-0.1255101194557201,0.0,-0.30593159446782997,0.011810832209666182,True,False
TTC34,0.0,0.33530387262506967,0.0,0.0,0.0,0.0,0.0,0.1372025301489698,0.0049885263893046,False,False
LINC00982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
PRDM16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
ARHGEF16,0.0,0.19976267840247003,0.0,0.0,0.0,0.0,0.0,0.0794703420532464,0.0028315023895048664,False,False
MEGF6,0.5478446084400329,-0.1588367901655301,-0.6597892624515905,0.0,0.0,-0.05689366460183646,0.0,0.3297806113912996,0.03387801192919915,False,False
RP11-46F15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
TPRG1L,0.07225822234007845,-0.6136630177271541,0.08391652707244833,0.0,0.0,-0.4846114902911674,0.0,-0.23467246413692586,0.07822892046610719,False,False
WRAP73,-0.14823719719207368,-0.09235447645270717,0.27936631742114754,0.014509711198013104,-1.4010048470466863,-0.8102220763282936,-3.1885406796096594,-0.14641897296518352,0.19395870888474676,True,False
TP73,0.0,0.0,-0.31744501571545264,0.0,0.0,-0.14357091118640875,0.0,0.0,0.0,False,False
TP73-AS1,-0.2301280238872788,-0.7075520142016334,0.5495351876777641,-1.2845312496955625,1.5495509904638802,-0.19333644517225265,0.0,-0.43055971685736666,0.06010482042979419,True,False
