"","B-cells","CAFs","Cancer Epithelial","Endothelial","Myeloid","NK cells","Normal Epithelial","Plasmablasts","PVL","T cells"
"mix_0102_depth25",0.000121639943719829,0.0940035316827234,0.312396367952576,0.000121639943719943,0.0115224048860998,0.000121639943719977,0.490897927170682,0.00117212808783559,0.00947466486529309,0.0801680555236304
"mix_0103_depth100",8.52018967241065e-05,0.0583183652484087,0.426038708956159,8.52018967326884e-05,8.52018967310017e-05,8.52018967551378e-05,0.463359728123086,0.000366577970995523,0.00186829915165731,0.0497075129627503
"mix_0103_depth25",8.32135943712186e-05,0.0433399043772777,0.414524885622348,8.32135943718154e-05,0.00385842341702563,8.32135943719959e-05,0.490388815754483,8.32135944195392e-05,8.32135943718161e-05,0.0474719028569591
"mix_0104_depth100",0.000125710110623832,0.112062747365057,0.424739935827725,0.00012571011062539,0.000125710110927276,0.000125710110623663,0.370096405118162,0.000288521977364463,0.000125710110625387,0.0921838391582658
"mix_0104_depth25",0.000124694331838316,0.103151186001539,0.443068115538832,0.000124694331838317,0.00013366349291345,0.000124694331836194,0.338730055645555,0.00116557278419125,0.0105372289146228,0.102840094626833
"mix_0105_depth100",0.000178865434572458,0.122492550215266,0.278433930175081,0.00017886543457689,0.000796848489688009,0.000178865434576891,0.252744616620483,0.000284187723402843,0.0889440497275594,0.255767220744794
"mix_0105_depth25",0.000182262734910666,0.135712678870262,0.323567881508802,0.000552744734675952,0.00467134389757045,0.000182262734915884,0.230224999627449,0.000182262734871911,0.0772319991804907,0.227491563976052
"mix_0106_depth100",9.03172322631857e-05,0.0289213539591892,0.403763175848466,9.03172322711462e-05,9.03172322458323e-05,0.00312734405494085,0.40299716191852,9.03172335509957e-05,0.00242348031533834,0.158406214973214
"mix_0106_depth25",0.000129351392026198,0.030474709550042,0.395705841947656,0.000129351390175617,0.000129351390078738,0.0182921108151415,0.398656272726134,0.000129351391791661,0.00133346999067624,0.155020189406277
"mix_0107_depth100",0.000124748395644952,0.159235277291773,0.309566302868467,0.000124748395670652,0.00012474839579017,0.00263762474271374,0.324546837321623,0.000289674023193048,0.0111627157592235,0.192187322805901
"mix_0107_depth25",0.000120347856419685,0.163363905284876,0.314966411060589,0.000120347856419688,0.00266928850728716,0.0236018715220599,0.343661783440135,0.000120347857711386,0.000120347856419686,0.151255348758083
"mix_0108_depth100",0.0233715957219695,0.03954720672934,0.312390852109557,0.000249655691581267,0.0493825825636265,0.00560437383631179,0.289229356702285,0.000590549687161532,0.143985608145393,0.135648218812776
"mix_0108_depth25",0.0375354478170023,0.0373637976885847,0.311334231605882,0.000170936424044319,0.0449828161109503,0.000170936424044321,0.266697132849826,0.00231840316799161,0.155226203621951,0.144200094289724
"mix_0109_depth100",0.000181841770029768,0.061606054821987,0.276216849034122,0.000181841770029772,0.164973038223727,0.0262476542480683,0.339293470073402,0.000181841755378486,0.00481031193919838,0.126307096364057
"mix_0109_depth25",0.00126071527987381,0.0657577080702485,0.265215156253484,0.000181874916275049,0.176204820238964,0.042552552664532,0.310010229657362,0.000181874927062714,0.0147894983745978,0.1238455696176
"mix_0110_depth100",0.000922565396874638,0.123083605581812,0.260946017227711,0.000160480379476907,0.138707762424203,0.0178902047876031,0.326358743078897,0.000160480368847695,0.0199132111683928,0.111856929586183
"mix_0110_depth25",0.00742129983141665,0.0965020272844344,0.298364468102118,0.00722010475679661,0.147827606507275,0.000154499081865186,0.319669180303804,0.000154499077129347,0.00529406317616499,0.117392251878996
"mix_0111_depth100",0.000119442145282058,0.0625493058626217,0.290488993612885,0.130122307694445,0.000119442145349403,0.011903387333876,0.463908124646926,0.00069141599738432,0.00981944084393562,0.0302781397172947
"mix_0111_depth25",0.000116996409597368,0.066206697035321,0.2777295897435,0.131962020201732,0.00631215229745274,0.0360080967341268,0.478449618488683,0.000498880482087205,0.00259895219790201,0.000116996409597946
"mix_0112_depth100",0.00017816886368534,0.119142903582516,0.300336544385153,0.0456429984392932,0.00017816886391126,0.0113461830808303,0.33608575550727,0.000843611816664075,0.000178168863682936,0.186067496596994
"mix_0112_depth25",0.00016855531314041,0.109007258277397,0.288276832529437,0.0381883382327531,0.000168555313127047,0.0121342633199085,0.362928610999769,0.000171480489398544,0.0138863602651657,0.175069745259904
"mix_0113_depth100",8.63540423952415e-05,0.0757991349420767,0.49324494042664,8.63540423952411e-05,0.000121152535908841,8.6354042395189e-05,0.275242446364828,0.000350231529693456,8.63540423952411e-05,0.154896678031272
"mix_0113_depth25",0.000125312097585069,0.0549598055742744,0.450557715076604,0.000125312097585069,0.000125312097581099,0.0080604817575646,0.305112877073103,0.0021370944933653,0.027417479758419,0.151378609973919
"mix_0114_depth100",0.000123605864629601,0.0880973431320271,0.40950219986265,0.000123605864639141,0.000123605864687222,0.00580445038304478,0.328003446734018,0.000471162157980187,0.0128004881319239,0.1549500920044
"mix_0114_depth25",0.000175941862238005,0.0895912639641264,0.436361368079441,0.000175941862238004,0.00715419677645377,0.0237630743916128,0.320508069203581,0.00787037925386303,0.011471014479113,0.102928750127333
"mix_0115_depth100",0.0448586903267297,0.158136365038094,0.313066882332672,0.000283875907398583,0.000283875907370482,0.0312390059779023,0.145723114971694,0.000283875907996023,0.0629093622328997,0.243214951397243
"mix_0115_depth25",0.056048774786394,0.159500159541682,0.295698163501672,0.000276650572406712,0.000276650572406712,0.0198557794773568,0.136716904100478,0.00321287053177859,0.0550379684714634,0.273376078444363
"mix_0116_depth100",0.00928188562251497,0.09352595966778,0.296476265994086,0.000122749159918297,0.000513290438365985,0.000122749159917199,0.376924414616767,0.000122749160035137,0.0932553880600741,0.129654548120541
"mix_0116_depth25",0.00678440763707124,0.0910699168215315,0.318131990996689,0.0001718692327262,0.00328780425643988,0.000171869232726219,0.335823860220054,0.00375609839431639,0.0952722038841562,0.145529979324289
"mix_0117_depth100",0.00012007542787495,0.291672618240803,0.286138112496417,0.000120075427831469,0.000120075427784209,0.0225162080330684,0.290567023601126,0.000142365905173373,0.000120075427831468,0.10848337001209
"mix_0117_depth25",0.000169173620281503,0.288675846593395,0.292471935012696,0.000169173620272143,0.00242248422502963,0.0271055126670519,0.289834759143194,0.00268491719528081,0.000204344083709661,0.0962618538390889
"mix_0118_depth100",0.000127263824152383,0.249730432665173,0.273303413334309,0.000127263824249439,0.000127263824739666,0.0394136481194854,0.323721156817575,0.000441958695968964,0.0117429821317474,0.1012646167626
"mix_0118_depth25",0.0001777643869035,0.252671245954572,0.224310005398407,0.000177764386903499,0.00147769875922711,0.0317165548033521,0.354293166036201,0.000680623539044779,0.0295498779335658,0.104945298801823
"mix_0119_depth100",0.000116493005342389,0.0466616454531629,0.300014210989823,0.000116493005330318,0.000116493005341672,0.0607909506996272,0.306993730136116,0.000116493005585868,0.208620286220788,0.0764532044788816
"mix_0119_depth25",0.00011943488965969,0.0370425634126808,0.299989876452746,0.000119434889643485,0.000119434889603775,0.0567495323895271,0.328787090778767,0.000119434889837943,0.1795266572698,0.0974265401377341
"mix_0120_depth100",0.00509933393895722,0.0238368562098497,0.359320853898136,0.000121091118914815,0.000884301498476465,0.0260200775035515,0.444681864653271,0.000121091116480825,0.0584160479970563,0.0814984820653063
"mix_0120_depth25",0.0268072324003219,0.0192443721477798,0.394428648633399,0.000126638972536223,0.00507006763192477,0.0718721901492318,0.387205335577205,0.000126638972361797,0.0632527610842832,0.0318661144309564
"mix_0121_depth100",0.000121075607819217,0.0511572505795474,0.311721876377437,0.000121075607742403,0.000121075607798797,0.0522495611841709,0.36704223966628,0.00012107560722567,0.132454100757543,0.0848906690044353
"mix_0121_depth25",0.000123133383576602,0.0557623104711138,0.273380992354968,0.00012313338357656,0.00271539099116374,0.0508534500480933,0.389780236201764,0.000123133384226224,0.136100746291878,0.0910374734896403
"mix_0122_depth100",8.91089356201788e-05,0.0608522845745923,0.438594024213093,8.9108935655698e-05,8.91089355327648e-05,0.0240077832636291,0.357182634967052,8.91089354016589e-05,0.00309575899227713,0.115911078247146
"mix_0122_depth25",0.000129087687856353,0.0616506683393723,0.416913104773043,0.000129087687856351,0.000129087687812858,0.0543484164915562,0.382758844309535,0.000129087687758954,0.00953520678318095,0.0742774085520289
"mix_0123_depth100",0.000124572333223926,0.110645030796732,0.364299890772766,0.000124572333244834,0.000877077067236028,0.0422317220081642,0.353804553109151,0.000124572332452412,0.00841028281582975,0.1193577264312
"mix_0123_depth25",0.000122805466009956,0.121310792526722,0.354871968376981,0.000122805466009956,0.000879580216720233,0.0391950404879877,0.354558700601269,0.000122805466957829,0.0101594986959246,0.118656002695418
