variant,method,truth,scenario,depth_fraction,cell_type,n_spots,mae_pp,rmse_pp,bias_pp,present_mae_pp,absent_mean_prediction_pct,absent_ge1pct_fraction
baseline,RCTD,cells,pure,0.25,Normal Epithelial,55,4.554154534811926,13.514999039501967,4.554154534811926,,4.554154534811926,0.14545454545454545
baseline,RCTD,cells,pure,0.25,PVL,55,2.8094741343747174,10.576489360114104,-2.0471886353310795,26.71164523338188,0.41925702447400093,0.08
baseline,RCTD,cells,pure,0.25,Plasmablasts,55,0.1338007771275668,0.6481920305861218,0.1338007771275668,,0.13380077712756677,0.01818181818181818
baseline,RCTD,cells,pure,0.25,T cells CD4+,55,7.230397519434719,15.883158643297051,0.5273745126103997,36.86662653753376,4.266774617624817,0.3
baseline,RCTD,cells,pure,0.25,T cells CD8+,55,11.864466800149534,22.73004767523826,9.095968365260266,15.226741391890982,11.528239340975393,0.4
baseline,RCTD,cells,pure,0.25,Epithelial total,55,2.3250468438162852,7.7743657420856795,1.349389368921282,5.366116111922518,2.020939917005662,0.08
baseline,RCTD,cells,pure,1.0,B-cells,55,0.2949283502013327,0.8171615083212448,0.04415815474382375,1.379236075016299,0.18649757771983605,0.06
baseline,RCTD,cells,pure,1.0,CAFs,55,0.6710008275987034,2.589274274417239,0.17778057137637224,2.7127114092228206,0.46682976943629145,0.06
baseline,RCTD,cells,pure,1.0,Cancer Epithelial,55,4.841982244839342,13.717250555328432,-3.0352384668949464,43.324713914538606,0.9937090778694189,0.08
baseline,RCTD,cells,pure,1.0,Cycling T-cells,55,7.4263966713940235,23.706783279625533,-6.854040222039126,78.54240291388233,0.31479604714519493,0.08
baseline,RCTD,cells,pure,1.0,Endothelial,55,0.37702686821142145,1.5692325170901422,-0.06715725190915625,2.4430126606631775,0.1704282889662459,0.02
baseline,RCTD,cells,pure,1.0,Myeloid,55,0.060007319148258145,0.28768272388765775,-0.025157295305367002,0.4684053794949383,0.01916751311359013,0.0
baseline,RCTD,cells,pure,1.0,NK cells,55,3.311926883825842,8.559238599542592,0.11884627219119105,17.561943363990583,1.8869252358093682,0.14
baseline,RCTD,cells,pure,1.0,NKT cells,55,3.4128565661840535,11.729437072317603,-3.183011982188402,36.27727701604851,0.12641452119760857,0.02
baseline,RCTD,cells,pure,1.0,Normal Epithelial,55,4.18100063747113,12.49583477756153,4.18100063747113,,4.181000637471131,0.14545454545454545
baseline,RCTD,cells,pure,1.0,PVL,55,2.255543089139921,9.024102659153035,-1.784337719176526,22.21934444574046,0.25916295347986806,0.06
baseline,RCTD,cells,pure,1.0,Plasmablasts,55,0.11249075282714867,0.35827933723891064,0.11249075282714867,,0.11249075282714867,0.01818181818181818
baseline,RCTD,cells,pure,1.0,T cells CD4+,55,6.762365102251065,17.21199813170884,-1.9686001075736324,48.020308654035844,2.636570747072587,0.22
baseline,RCTD,cells,pure,1.0,T cells CD8+,55,13.407623968685456,25.309274131743763,12.283266656477487,6.1839652171438235,14.129989843839619,0.38
baseline,RCTD,cells,pure,1.0,Epithelial total,55,1.6677498227710883,5.982710002731903,1.1457621705761827,2.87093208707198,1.547431596340999,0.08
baseline,NNLS,rna,factorial,0.25,B-cells,189,0.4556090719389647,1.346858615730673,-0.3673414578524716,3.189263503572753,0.0,0.0
baseline,NNLS,rna,factorial,0.25,CAFs,189,4.320724683901542,6.466647930276157,1.9660990908998652,5.801713120051945,1.358747811600737,0.30158730158730157
baseline,NNLS,rna,factorial,0.25,Cancer Epithelial,189,42.77401741986165,45.21860392668049,-42.77401741986165,42.77401741986165,,
baseline,NNLS,rna,factorial,0.25,Cycling T-cells,189,3.2314339230744324,6.191068740009834,1.837120596265573,7.137124944575735,2.5804854194908824,0.29012345679012347
baseline,NNLS,rna,factorial,0.25,Endothelial,189,1.0176793707166918,3.184506713946268,-0.8075832318889709,6.38841910911982,0.12255608098283728,0.024691358024691357
baseline,NNLS,rna,factorial,0.25,Myeloid,189,1.6578835057464114,3.092241207269364,1.424024675623467,3.4363463257456495,1.3614730357465383,0.36419753086419754
