"","B-cells","CAFs","Cancer Epithelial","Cycling T-cells","Endothelial","Myeloid","NK cells","NKT cells","Normal Epithelial","Plasmablasts","PVL","T cells CD4+","T cells CD8+"
"mix_0125_depth25",6.54380566235345e-05,6.54380566138967e-05,0.398497394928482,0.0204368482925779,6.54380566235353e-05,6.54380566101916e-05,6.5438056623535e-05,0.0158369840735658,0.348521523357272,6.54380589718293e-05,0.044346553690033,0.0666989577193419,0.105269109596661
"mix_0126_depth100",9.39392008139991e-05,0.224958240407951,0.419031152100144,9.39392008135431e-05,9.39392008135425e-05,9.39392006778666e-05,9.39392007836912e-05,9.39392008754075e-05,0.317094668092752,0.000541811181575277,0.00163140661108305,0.016357391007746,0.0198216953939698
"mix_0126_depth25",9.57867881119819e-05,0.19364428231228,0.46897112096188,0.00575006084555925,9.57867881119824e-05,0.00419210497136616,0.00142887693554309,9.57867881074944e-05,0.271028137987201,9.57867864179158e-05,0.0151645845183277,0.0223059415671034,0.0171317427499905
"mix_0127_depth100",7.00326647923433e-05,0.293709117315978,0.266681051743759,7.00326647981327e-05,7.00326647981347e-05,7.00326649471928e-05,0.00440518327886483,7.0032664776825e-05,0.392766738831736,7.00326651943784e-05,0.000128110290400819,0.0418195698851602,7.0032664793611e-05
"mix_0127_depth25",7.12545672487884e-05,0.304431289757057,0.239099713688271,7.12545672551366e-05,7.12545672551363e-05,7.12545672593182e-05,0.0041725786957305,7.12545671064529e-05,0.421869512189212,7.12545685084326e-05,0.00582850083862737,0.0240996228592066,7.12545672619558e-05
"mix_0128_depth100",6.80057433904946e-05,0.184316783066003,0.345153146030407,6.80057433969235e-05,6.80057433969249e-05,6.8005743402302e-05,6.80057434026647e-05,6.80057434160731e-05,0.387121764319039,0.000532444530220092,0.0193280066179946,0.0630718152324223,6.80057435090641e-05
"mix_0128_depth25",9.96866765671588e-05,0.190726444059657,0.338227503887499,9.96866765682525e-05,9.96866765682517e-05,0.000334461943634532,0.000331372779196395,9.96866765752093e-05,0.394937603367868,0.00158561650354705,0.0131149976990998,0.0602435663766051,9.96866766136862e-05
"mix_0129_depth100",9.59425084204752e-05,0.278912531165317,0.288870503272561,9.59425084204732e-05,9.59425084204746e-05,0.118774789742244,9.59425083024484e-05,0.000263065573830004,0.312382619732252,9.59425085456228e-05,9.59425084204736e-05,9.59425084051475e-05,0.0001248929548608
"mix_0129_depth25",9.64820019176994e-05,0.268744870874468,0.298771915972246,9.64820019176988e-05,9.64820019176955e-05,0.115980874922409,9.64820019221736e-05,9.64820019176997e-05,0.297690171848168,9.64820019097668e-05,0.00752708165546241,9.64820019176938e-05,0.0106097107138254
"mix_0130_depth100",0.00159637311208632,0.219957831228336,0.308450894002804,6.42771742071706e-05,6.4277174207173e-05,0.0497591800955211,6.42771731849302e-05,6.42771719153789e-05,0.417579146899035,6.42771740211869e-05,0.00220663444609726,6.42771741939664e-05,6.42771743903469e-05
"mix_0130_depth25",6.30006336648325e-05,0.246514156688364,0.3006080548192,6.30006336648331e-05,6.30006336648314e-05,0.0561536710241708,6.30006340622836e-05,6.30006329413415e-05,0.394962014121674,6.300063354747e-05,0.00125809827779168,6.3000633664832e-05,6.30006335896811e-05
"mix_0131_depth100",6.62851737654011e-05,0.277811293055204,0.317237707773832,6.62851737654001e-05,6.62851737653988e-05,0.119156153571132,6.62851734019368e-05,6.62851742418573e-05,0.272955023546082,6.62851737988705e-05,0.0123095406634889,6.62851737673403e-05,6.62851737556229e-05
"mix_0131_depth25",9.53657993524495e-05,0.277003382222349,0.326506249544095,9.53657993524486e-05,9.53657993524494e-05,0.111982665472827,9.53657994071272e-05,9.53658000093243e-05,0.281343425258516,0.00237610325131565,0.000120613654771378,9.53657993524509e-05,9.5365799299955e-05
"mix_0132_depth100",6.76779322093884e-05,0.219857218429057,0.290428299831085,0.00797766358932034,0.135034162531549,6.76779321819449e-05,6.76779323315854e-05,6.76779316622452e-05,0.322145644918747,6.7677932203538e-05,0.0240832651756116,6.76779322021423e-05,6.76779318382114e-05
"mix_0132_depth25",9.89365654387348e-05,0.216611013667652,0.253435219304807,0.0265606100702004,0.138078464282275,0.00265474699016278,9.89365654721409e-05,9.89365656984082e-05,0.32705591078777,0.00136770161759204,0.0337416504521019,9.89365654384136e-05,9.8936565391358e-05
"mix_0133_depth100",6.94629975659147e-05,0.293850524409559,0.30525278895652,6.94629975893704e-05,0.0681890016672505,6.94629975317202e-05,6.94629971914548e-05,6.94629971636808e-05,0.332081162195972,6.94629976707263e-05,7.08187914473556e-05,6.94629975893794e-05,6.94629969486752e-05
"mix_0133_depth25",6.80488841636087e-05,0.288340364977632,0.30588734747165,6.80488841636128e-05,0.0747217827235669,8.43188475238655e-05,6.80488841632804e-05,6.80488804610709e-05,0.330361128982433,6.80488841184189e-05,0.000128714812237291,6.80488841636088e-05,6.80488837244137e-05
"mix_0134_depth100",7.01087539329695e-05,0.208291123035983,0.391137490005443,0.00169170861676554,0.0207977448244048,7.01087539599668e-05,7.01087540282456e-05,7.0108754544629e-05,0.358138313070704,0.0013728159639975,0.018150151958759,7.01087539195579e-05,7.0108753557674e-05
"mix_0134_depth25",9.92628487724629e-05,0.254410510276424,0.36630114800152,9.92628487724632e-05,0.00435918282021731,0.000718699703874929,9.92628488688512e-05,9.92628505320548e-05,0.358000367973126,0.00534938417505008,0.010265129955295,9.92628487724626e-05,9.92628487737913e-05
"mix_0135_depth100",0.0402096652418938,0.290413252165654,0.208707936358254,4.51333327459712e-05,4.51333327459697e-05,4.51333327378307e-05,4.51333327471049e-05,4.51333320693154e-05,0.433972797989223,4.51333326195194e-05,0.000100680879800827,0.0262797340366949,4.51333328144754e-05
"mix_0135_depth25",0.0413985323687121,0.292449909124473,0.209058698759162,0.0199463995545966,4.5301790723067e-05,0.00272674002623249,4.53017907230653e-05,4.53017911213835e-05,0.391668894554568,4.53017907327769e-05,0.00257929684583372,0.0399450198123989,4.53017907230444e-05
"mix_0136_depth100",0.0324612035017107,0.15994684032916,0.410402561003465,9.40036344261305e-05,9.40036344261298e-05,9.40036342184568e-05,0.00087270575595702,9.40036342889574e-05,0.387416132003958,9.40036344442548e-05,9.40036344261294e-05,0.00824253196509203,9.40036344266356e-05
"mix_0136_depth25",0.0377725754037255,0.166696929810621,0.382080320489405,0.0033712894226608,9.99552507932502e-05,9.99552507796196e-05,0.00393913807098491,9.99552507816817e-05,0.405440060047579,9.995525040189e-05,9.99552507932501e-05,9.99552507932492e-05,9.99552506810019e-05
"mix_0137_depth100",0.0175241774897567,0.212592213652874,0.425083356042629,0.0104558547925922,9.84410691325592e-05,9.84410690972835e-05,9.84410690992444e-05,9.84410691942866e-05,0.333556869469235,9.84410689927894e-05,9.84410691325621e-05,9.84410691266423e-05,9.84410691381775e-05
"mix_0137_depth25",0.0257785899318026,0.214035006185623,0.399834542841432,0.0115775907953936,0.000100645947047629,0.000100645947081455,0.000100645947037912,0.000100645947036304,0.346932151949984,0.00113759666644055,0.000100645947047627,0.000100645947047628,0.000100645947025655
"mix_0138_depth100",0.000101526667164281,0.251176124740495,0.336764559221199,0.0456966862259471,0.000101526667264958,0.000101526667264621,0.0176670765872159,0.000101526667221552,0.342533789404113,0.000101526667104122,0.00545107715042221,0.000101526667264963,0.00010152666732395
"mix_0138_depth25",9.83920429298253e-05,0.224725955538484,0.290527172003401,0.0406526380009409,9.83920428968005e-05,9.83920428968005e-05,0.03348071858965,9.83920429025882e-05,0.407111267907678,9.83920443085731e-05,0.00281350365810519,9.83920428968001e-05,9.83920429088994e-05
"mix_0139_depth100",6.65854395052414e-05,0.305664993513423,0.266217444349453,6.65854394595839e-05,6.65854394595825e-05,6.65854394422414e-05,0.0217741691986356,6.65854394823835e-05,0.33584746604223,6.65854398639184e-05,0.0699632433802075,6.6585439459584e-05,6.65854393776825e-05
"mix_0139_depth25",9.4117568289657e-05,0.289442821511275,0.27626358789436,9.41175682942973e-05,9.4117568294298e-05,9.41175682942982e-05,0.0187717103038607,0.00145228552511263,0.333639841098606,0.00174341989779577,0.0777917193851866,0.000424026542337934,9.41175682935303e-05
"mix_0140_depth100",6.75508030814364e-05,0.3158903015547,0.368215955662774,6.75508031219077e-05,6.75508031260494e-05,6.75508032727563e-05,0.0178270362184178,6.75508030997767e-05,0.283110495066536,6.75508039087646e-05,0.0144158050716252,6.75508031200682e-05,6.75508032164445e-05
"mix_0140_depth25",6.81039691586508e-05,0.310222293532798,0.395436329171413,6.81039691843239e-05,6.8103969184336e-05,0.000151616557528357,0.00951661248645056,0.00135999322780334,0.258375653258494,6.81039691755899e-05,0.024528877950568,6.81039691843254e-05,6.81039690575141e-05
"mix_0141_depth100",9.87801186549343e-05,0.382993626495247,0.342842400650042,0.000424462173664076,9.87801186323835e-05,9.87801184508123e-05,9.87801185955662e-05,0.0101772464384405,0.242939953306059,0.000144890530140831,0.00398593300486472,0.0115762987305777,0.00452006819663035
"mix_0141_depth25",0.000100089170724931,0.383148612893541,0.331691285971665,0.000100089170724934,0.000100089170724941,0.00418364122196954,0.000100089170700607,0.0167233046761951,0.239526034324998,0.000100089169855674,0.00660082960922123,0.0175257562789545,0.00010008917072425
"mix_0142_depth100",9.06830345192492e-05,0.23942931944399,0.301035800124717,0.00676599445862055,9.06830345270132e-05,9.06830344824602e-05,9.06830345242257e-05,0.0197489309689478,0.423212954840688,0.000418033539119572,9.52785754474597e-05,0.00741583280565637,0.00151512310476075
"mix_0142_depth25",9.05777779282175e-05,0.21838918405374,0.3202414629551,0.00495533066219714,9.05777779267421e-05,9.05777779267433e-05,9.05777779267423e-05,0.0203358257663511,0.412767296784341,0.00131905597142815,0.0130079970230268,0.0085309578941774,9.05777779296137e-05
