spot_id,base_mixture,scenario,recipe,repeat,depth_fraction,n_cells,nUMI,x,y,coordinate_type
mix_0059_depth100,59,factorial,caf0_cd83_NKT cells,2,1.0,10,30206,118,0,synthetic_index
mix_0059_depth25,59,factorial,caf0_cd83_NKT cells,2,0.25,10,7665,119,0,synthetic_index
mix_0060_depth100,60,factorial,caf0_cd83_Cycling T-cells,0,1.0,10,31479,120,0,synthetic_index
mix_0060_depth25,60,factorial,caf0_cd83_Cycling T-cells,0,0.25,10,7927,121,0,synthetic_index
mix_0061_depth100,61,factorial,caf0_cd83_Cycling T-cells,1,1.0,10,31094,122,0,synthetic_index
mix_0061_depth25,61,factorial,caf0_cd83_Cycling T-cells,1,0.25,10,7795,123,0,synthetic_index
mix_0062_depth100,62,factorial,caf0_cd83_Cycling T-cells,2,1.0,10,15987,124,0,synthetic_index
mix_0062_depth25,62,factorial,caf0_cd83_Cycling T-cells,2,0.25,10,3845,125,0,synthetic_index
mix_0063_depth100,63,factorial,caf1_cd80_T cells CD4+,0,1.0,10,34226,126,0,synthetic_index
mix_0063_depth25,63,factorial,caf1_cd80_T cells CD4+,0,0.25,10,8766,127,0,synthetic_index
mix_0064_depth100,64,factorial,caf1_cd80_T cells CD4+,1,1.0,10,33123,128,0,synthetic_index
mix_0064_depth25,64,factorial,caf1_cd80_T cells CD4+,1,0.25,10,8457,129,0,synthetic_index
mix_0065_depth100,65,factorial,caf1_cd80_T cells CD4+,2,1.0,10,48596,130,0,synthetic_index
mix_0065_depth25,65,factorial,caf1_cd80_T cells CD4+,2,0.25,10,12263,131,0,synthetic_index
mix_0066_depth100,66,factorial,caf1_cd80_Myeloid,0,1.0,10,38908,132,0,synthetic_index
mix_0066_depth25,66,factorial,caf1_cd80_Myeloid,0,0.25,10,9815,133,0,synthetic_index
mix_0067_depth100,67,factorial,caf1_cd80_Myeloid,1,1.0,10,38379,134,0,synthetic_index
mix_0067_depth25,67,factorial,caf1_cd80_Myeloid,1,0.25,10,9689,135,0,synthetic_index
mix_0068_depth100,68,factorial,caf1_cd80_Myeloid,2,1.0,10,44964,136,0,synthetic_index
mix_0068_depth25,68,factorial,caf1_cd80_Myeloid,2,0.25,10,11339,137,0,synthetic_index
mix_0069_depth100,69,factorial,caf1_cd80_Endothelial,0,1.0,10,32727,138,0,synthetic_index
mix_0069_depth25,69,factorial,caf1_cd80_Endothelial,0,0.25,10,8106,139,0,synthetic_index
mix_0070_depth100,70,factorial,caf1_cd80_Endothelial,1,1.0,10,42004,140,0,synthetic_index
mix_0070_depth25,70,factorial,caf1_cd80_Endothelial,1,0.25,10,10521,141,0,synthetic_index
mix_0071_depth100,71,factorial,caf1_cd80_Endothelial,2,1.0,10,46483,142,0,synthetic_index
mix_0071_depth25,71,factorial,caf1_cd80_Endothelial,2,0.25,10,11578,143,0,synthetic_index
mix_0072_depth100,72,factorial,caf1_cd80_B-cells,0,1.0,10,62161,144,0,synthetic_index
mix_0072_depth25,72,factorial,caf1_cd80_B-cells,0,0.25,10,15438,145,0,synthetic_index
mix_0073_depth100,73,factorial,caf1_cd80_B-cells,1,1.0,10,37959,146,0,synthetic_index
mix_0073_depth25,73,factorial,caf1_cd80_B-cells,1,0.25,10,9511,147,0,synthetic_index
mix_0074_depth100,74,factorial,caf1_cd80_B-cells,2,1.0,10,34603,148,0,synthetic_index
mix_0074_depth25,74,factorial,caf1_cd80_B-cells,2,0.25,10,8775,149,0,synthetic_index
mix_0075_depth100,75,factorial,caf1_cd80_NK cells,0,1.0,10,38359,150,0,synthetic_index
mix_0075_depth25,75,factorial,caf1_cd80_NK cells,0,0.25,10,9576,151,0,synthetic_index
mix_0076_depth100,76,factorial,caf1_cd80_NK cells,1,1.0,10,45556,152,0,synthetic_index
mix_0076_depth25,76,factorial,caf1_cd80_NK cells,1,0.25,10,11397,153,0,synthetic_index
mix_0077_depth100,77,factorial,caf1_cd80_NK cells,2,1.0,10,55860,154,0,synthetic_index
mix_0077_depth25,77,factorial,caf1_cd80_NK cells,2,0.25,10,13930,155,0,synthetic_index
mix_0078_depth100,78,factorial,caf1_cd80_NKT cells,0,1.0,10,49184,156,0,synthetic_index
mix_0078_depth25,78,factorial,caf1_cd80_NKT cells,0,0.25,10,12308,157,0,synthetic_index
mix_0079_depth100,79,factorial,caf1_cd80_NKT cells,1,1.0,10,36789,158,0,synthetic_index
mix_0079_depth25,79,factorial,caf1_cd80_NKT cells,1,0.25,10,9200,159,0,synthetic_index
mix_0080_depth100,80,factorial,caf1_cd80_NKT cells,2,1.0,10,53747,160,0,synthetic_index
mix_0080_depth25,80,factorial,caf1_cd80_NKT cells,2,0.25,10,13378,161,0,synthetic_index
mix_0081_depth100,81,factorial,caf1_cd80_Cycling T-cells,0,1.0,10,50676,162,0,synthetic_index
mix_0081_depth25,81,factorial,caf1_cd80_Cycling T-cells,0,0.25,10,12854,163,0,synthetic_index
mix_0082_depth100,82,factorial,caf1_cd80_Cycling T-cells,1,1.0,10,32175,164,0,synthetic_index
mix_0082_depth25,82,factorial,caf1_cd80_Cycling T-cells,1,0.25,10,8061,165,0,synthetic_index
mix_0083_depth100,83,factorial,caf1_cd80_Cycling T-cells,2,1.0,10,38640,166,0,synthetic_index
mix_0083_depth25,83,factorial,caf1_cd80_Cycling T-cells,2,0.25,10,9670,167,0,synthetic_index
mix_0084_depth100,84,factorial,caf1_cd81_T cells CD4+,0,1.0,10,58001,168,0,synthetic_index
mix_0084_depth25,84,factorial,caf1_cd81_T cells CD4+,0,0.25,10,14479,169,0,synthetic_index
mix_0085_depth100,85,factorial,caf1_cd81_T cells CD4+,1,1.0,10,26796,170,0,synthetic_index
mix_0085_depth25,85,factorial,caf1_cd81_T cells CD4+,1,0.25,10,6605,171,0,synthetic_index
mix_0086_depth100,86,factorial,caf1_cd81_T cells CD4+,2,1.0,10,39487,172,0,synthetic_index
mix_0086_depth25,86,factorial,caf1_cd81_T cells CD4+,2,0.25,10,9725,173,0,synthetic_index
mix_0087_depth100,87,factorial,caf1_cd81_Myeloid,0,1.0,10,41624,174,0,synthetic_index
mix_0087_depth25,87,factorial,caf1_cd81_Myeloid,0,0.25,10,10396,175,0,synthetic_index
mix_0088_depth100,88,factorial,caf1_cd81_Myeloid,1,1.0,10,44785,176,0,synthetic_index
