"","B-cells","CAFs","Cancer Epithelial","Endothelial","Myeloid","NK cells","Normal Epithelial","Plasmablasts","PVL","T cells"
"CID4461_mix019_depth100",0.0149604096756459,0.107307574936768,0.0365896221182752,0.0316327024882016,0.0534280041894458,0.000477816047869824,0.0361428718488666,0.0135514480127681,0.0015680557096058,0.648814767544604
"CID4461_mix019_depth25",0.0647254530940953,0.131509584109211,0.0886916166026257,0.000162841359791045,0.02986365007085,0.000184632724637453,0.160009798782818,0.00981902471550027,0.000162841359791045,0.49390265252044
"CID4461_mix020_depth100",0.000113988951853731,0.320084129935704,0.0764008198403091,0.0511378268805111,0.0439442856680482,0.000152323381955267,0.0150403106549863,0.0142966540382767,0.000113988951853732,0.431264986009978
"CID4461_mix020_depth25",0.00255661829700083,0.341125865461781,0.143899439294912,0.0266161471926124,0.0369025057909898,0.000113988951853732,0.0838665358350831,0.0146660023837081,0.000113988951853732,0.351380357038709
"CID4461_mix021_depth100",0.151989187915906,7.97922663558408e-05,0.0373115595255321,0.0314183076500831,7.97922662976132e-05,7.9792266297613e-05,0.00786855711247708,0.0124796813559617,7.97922662976131e-05,0.73692916586764
"CID4461_mix021_depth25",0.271025106887657,5.58545864077215e-05,0.000136407888618201,0.0172223889040857,6.30385232446252e-05,0.000180095339420423,0.01224755927796,0.00710419277417591,0.00533335537928095,0.790992447917025
"CID4461_mix022_depth100",0.13119929273833,0.114208408929184,0.0434036421894228,0.0353496356807289,0.000113988951853731,0.000113988951853732,0.00666079463704024,0.0146751203752489,0.000113988951853732,0.659682102407365
"CID4461_mix022_depth25",0.229137793588789,0.0913535836500016,0.000105032606346616,0.0180593302590802,6.92363843869126e-05,0.000140227132280503,0.0115798953636252,0.0121861128682574,0.00243039372283888,0.719795744840533
"CID4461_mix023_depth100",0.0247794989640092,0.203854379543875,0.0494271141710083,0.0796451892026617,0.0482966507062169,0.000113988951853732,0.0500393880367289,0.0193261072835883,0.00662505187964861,0.530389388674055
"CID4461_mix023_depth25",0.0957918143586834,0.156000433940089,0.0193470321827355,0.0710436422783431,0.0499245732238306,0.00013128850654597,0.0238736369458003,0.0139076127298489,7.97922662976116e-05,0.621322622183909
"CID4461_mix024_depth100",0.0498792819886732,5.58545864330667e-05,0.0661744039150988,0.0877653653768395,0.0310259265607497,0.00184559980475403,0.00489208573690589,0.0225046838445597,5.58545864083289e-05,0.649822045368115
"CID4461_mix024_depth25",0.042929044289269,5.58545864083284e-05,0.0323503201615043,0.0740353150452751,0.0430941190761611,0.000134084175739704,0.0225405175579334,0.0224600539611717,5.58545864083293e-05,0.660363278303588
"CID4461_mix025_depth100",0.0166870076952381,0.147017553926104,0.076027280759647,0.0885305577101579,0.0809530069231627,0.000147053688108595,0.0100829303682902,0.0200439427863167,0.0205884662483563,0.513950411042896
"CID4461_mix025_depth25",0.00011506077891496,0.132493001202421,0.0374301198293631,0.104639024240165,0.0640075936406411,0.000110946367991475,0.00574646598824676,0.0165891538310361,0.0400841917587096,0.600893379379524
"CID4461_mix026_depth100",0.0188221213228029,0.302576516444954,0.0737220234577325,0.0759627073998756,0.0562811522988045,0.000161098727749389,0.036359934592032,0.0194998790926117,0.000113988951853732,0.410199426847604
"CID4461_mix026_depth25",0.000106053531789789,0.28742511430618,0.0761272198797875,0.0895222573056415,0.0328702833092988,9.05207430260795e-05,0.0668674059465706,0.0170294807854068,7.97922662976128e-05,0.480817304962136
"CID4461_mix027_depth100",0.0854510283375082,7.97922662829288e-05,0.000126037138589148,0.0191118383712097,0.0129638651865387,0.0050640273797412,7.97922662976117e-05,0.0123406092130762,7.97922662976124e-05,0.773232940537303
"CID4461_mix027_depth25",0.178055490767256,0.000113988951853731,0.000113988951853732,0.0295335078645063,0.000113988951853733,0.033559381394105,0.00011398895185373,0.00915781505616224,0.0163082415728879,0.582602869164384
"CID4461_mix028_depth100",0.0227856972508449,0.211557646768829,0.0339797870074726,0.0347481786449633,0.0383024381942312,0.000144407441972815,0.029776831983509,0.016188006882596,0.00376526472482744,0.563484536025749
"CID4461_mix028_depth25",0.105963637085852,0.209158862818878,0.000162841359791045,0.0874623101002534,0.00433208754656892,0.0107776457311356,0.0258027718342291,0.0121451250510122,0.0175588829504742,0.416003629855984
"CID4461_mix029_depth100",0.0104478211691496,0.337820700919513,0.0603264591777788,0.0260822475361762,0.0417705378068837,0.000113988951853732,0.0375555121111389,0.0177901527879587,0.000113988951853731,0.439384319139344
"CID4461_mix029_depth25",0.0602480412499569,0.333937057063231,0.000113988951853731,0.0767105503009302,0.0187040363456415,0.000122902812534696,0.103705549951295,0.0113413225138665,0.000128981665481604,0.333822612291031
"CID4461_mix030_depth100",0.0680563216643595,0.00118766048039217,0.0317391071157888,0.09647912989083,0.0178763740333415,0.103815946312561,5.58545864083331e-05,0.0182795920536547,5.58545864083281e-05,0.627736562022308
"CID4461_mix030_depth25",0.179800831353529,0.000113988951853732,0.0369626986770621,0.15989820851892,0.0314785671161657,0.191142944664949,0.000113988951853747,0.015760270218356,0.000113988951853732,0.342956354107228
"CID4461_mix031_depth100",0.0379000773310222,0.161716624907851,0.061400599280314,0.120528203341551,0.0197010710812901,0.0828255609285634,0.00011398895185373,0.0184724802698396,0.000113988951853732,0.445734300475283
"CID4461_mix031_depth25",0.137529086872713,0.164813852864363,0.0417246865608121,0.176786028789501,0.0383934035475931,0.144719279926287,0.000232630513987208,0.0165815311073528,0.000232630513987208,0.218941221907722
"CID4461_mix032_depth100",0.015277723883336,0.322366175268697,0.0919301836169473,0.0971183246186545,0.0417222792126434,0.0497744339110703,7.97922662976102e-05,0.0178530011137711,8.28710288891956e-05,0.340772406129285
"CID4461_mix032_depth25",0.0718383129830073,0.333975175774226,0.10738295914278,0.115559130816666,0.0571802997975482,0.0909549693538177,0.000172847113250948,0.0149047777030338,0.000162841359791043,0.182276298062396
"CID4461_mix033_depth100",0.153829270601291,0.003349512524892,0.0291491255135147,5.58545864083281e-05,0.0204930595314142,0.104643844772145,5.5854586408329e-05,0.0131983539125008,5.5854586408329e-05,0.625738267882716
"CID4461_mix033_depth25",0.150591797176381,0.00462761206371097,7.38402083263538e-05,5.58545864083279e-05,0.00648132101146839,0.082942600494271,5.58545864083598e-05,0.00499346069895987,5.58545864083325e-05,0.697411831688347
"CID4461_mix034_depth100",0.0926993927841774,0.129752640462214,0.0547420605212716,0.0065773271070489,0.043259865302113,0.0898928160545191,7.9792266297612e-05,0.0140397863130482,0.00730694523935703,0.508786585058536
"CID4461_mix034_depth25",0.091302612676626,0.107636376770715,0.000153220960615356,0.0462686728325095,0.01439608383271,0.0622386811336616,5.58545864083285e-05,0.00421708251455393,5.58545864083287e-05,0.637295363383519
"CID4461_mix035_depth100",0.0729639270982789,0.26851659494407,0.0658567604050428,0.0172899715728866,0.0552429969765177,0.068531300967698,0.00910812473421757,0.0163542251947607,0.0203954099693473,0.360039049926043
"CID4461_mix035_depth25",0.0030434960697375,0.237411982046216,0.0625083608521451,0.0245348746836404,0.0638509810239161,0.0498919907870022,8.909013010308e-05,0.0063863962703517,0.0173528035987447,0.489851384142154
"CID4461_mix036_depth100",0.0289635867700009,7.97922663165654e-05,0.000131785661009358,0.0164244619761977,0.0534788798631306,0.0252789119442972,0.0030379648371568,0.0147489147179688,7.9792266297613e-05,0.747841144121993
"CID4461_mix036_depth25",0.140799045311235,5.58545864083285e-05,0.000125966327979688,5.58545864083283e-05,5.94680069016015e-05,0.0269731799023644,0.0223677886361199,0.0117610193178842,5.58545864083173e-05,0.711753360829244
"CID4461_mix037_depth100",0.000139706816645583,0.0934230018396766,0.000152964884849026,0.0351510532427201,0.0711490870444264,0.0219710186713317,0.0424973855425828,0.0155078418644273,7.97922662976121e-05,0.631672526533826
