donor_id,reference_label,flag,n_cells,median,mad,threshold_transformed,applied
CID4535,Cycling T-cells,review_low_genes,19,7.298445101508147,0.9374456244203486,2.6112169794064037,False
CID4535,Cycling T-cells,review_high_genes,19,7.298445101508147,0.9374456244203486,11.98567322360989,False
CID4535,Cycling T-cells,review_high_mt,19,3.403489219426465,1.023056810603578,8.518773272444355,False
CID4535,Endothelial,review_low_umi,219,8.504513138258863,0.4889142321537463,6.059941977490132,True
CID4535,Endothelial,review_high_umi,219,8.504513138258863,0.4889142321537463,10.949084299027595,True
CID4535,Endothelial,review_low_genes,219,7.576097340623111,0.3169812125260103,5.991191277993059,True
CID4535,Endothelial,review_high_genes,219,7.576097340623111,0.3169812125260103,9.161003403253162,True
CID4535,Endothelial,review_high_mt,219,3.8311940879035395,1.348124110476903,10.571814640288054,True
CID4535,Myeloid,review_low_umi,255,9.013838751608395,0.5606508901680698,6.210584300768046,True
CID4535,Myeloid,review_high_umi,255,9.013838751608395,0.5606508901680698,11.817093202448744,True
CID4535,Myeloid,review_low_genes,255,7.62657020629066,0.33235628675944984,5.964788772493411,True
CID4535,Myeloid,review_high_genes,255,7.62657020629066,0.33235628675944984,9.28835164008791,True
CID4535,Myeloid,review_high_mt,255,4.819277108433735,1.962457933750846,14.631566777187967,True
CID4535,NK cells,review_low_umi,25,7.905072849498666,0.2514373765813005,6.647885966592163,True
CID4535,NK cells,review_high_umi,25,7.905072849498666,0.2514373765813005,9.162259732405168,True
CID4535,NK cells,review_low_genes,25,6.904750769961838,0.1821209751063897,5.99414589442989,True
CID4535,NK cells,review_high_genes,25,6.904750769961838,0.1821209751063897,7.815355645493787,True
CID4535,NK cells,review_high_mt,25,3.4482758620689653,1.0398216964263014,8.647384344200471,True
CID4535,NKT cells,review_low_umi,15,7.892452043520352,0.21947601979038645,6.79507194456842,False
CID4535,NKT cells,review_high_umi,15,7.892452043520352,0.21947601979038645,8.989832142472284,False
CID4535,NKT cells,review_low_genes,15,6.97354301952014,0.16611731644477956,6.142956437296243,False
CID4535,NKT cells,review_high_genes,15,6.97354301952014,0.16611731644477956,7.804129601744038,False
CID4535,NKT cells,review_high_mt,15,3.7203720372037203,1.0317337024248827,8.879040549328135,False
CID4535,Normal Epithelial,review_low_umi,22,9.67225678529585,0.458455728033357,7.379978145129066,True
CID4535,Normal Epithelial,review_high_umi,22,9.67225678529585,0.458455728033357,11.964535425462635,True
CID4535,Normal Epithelial,review_low_genes,22,8.136087564125368,0.34086185732583374,6.4317782774962,True
CID4535,Normal Epithelial,review_high_genes,22,8.136087564125368,0.34086185732583374,9.840396850754537,True
CID4535,Normal Epithelial,review_high_mt,22,4.858463719507121,0.7447454035783454,8.582190737398848,True
CID4535,PVL,review_low_umi,592,8.553717947507515,0.3036203314200696,7.035616290407167,True
CID4535,PVL,review_high_umi,592,8.553717947507515,0.3036203314200696,10.071819604607864,True
CID4535,PVL,review_low_genes,592,7.492481671770561,0.21951473518150744,6.394907995863024,True
CID4535,PVL,review_high_genes,592,7.492481671770561,0.21951473518150744,8.590055347678097,True
CID4535,PVL,review_high_mt,592,3.880384929489143,0.9304615009564858,8.532692434271572,True
CID4535,Plasmablasts,review_low_umi,96,9.696012705067666,0.4886771310194602,7.252627049970365,True
CID4535,Plasmablasts,review_high_umi,96,9.696012705067666,0.4886771310194602,12.139398360164968,True
CID4535,Plasmablasts,review_low_genes,96,7.545915918718261,0.3183021186548771,5.954405325443876,True
CID4535,Plasmablasts,review_high_genes,96,7.545915918718261,0.3183021186548771,9.137426511992647,True
CID4535,Plasmablasts,review_high_mt,96,1.7379036113944104,0.42178233366582707,3.8468152797235455,True
CID4535,T cells CD4+,review_low_umi,239,6.371611847231857,0.6846364908920366,2.948429392771674,True
