seed,cell_type,top_fraction,n_top,n_overlap,retention,jaccard
1001,T cells CD8+,0.2,221,188,0.8506787330316742,0.7401574803149606
1002,T cells CD8+,0.2,221,180,0.8144796380090498,0.6870229007633588
1003,T cells CD8+,0.2,221,177,0.8009049773755657,0.6679245283018868
1004,T cells CD8+,0.2,221,189,0.8552036199095022,0.7470355731225297
1005,T cells CD8+,0.2,221,179,0.8099547511312217,0.6806083650190115
1006,T cells CD8+,0.2,221,172,0.7782805429864253,0.6370370370370371
1007,T cells CD8+,0.2,221,187,0.8461538461538461,0.7333333333333333
1008,T cells CD8+,0.2,221,164,0.7420814479638009,0.5899280575539568
1009,T cells CD8+,0.2,221,178,0.8054298642533937,0.6742424242424242
1010,T cells CD8+,0.2,221,185,0.8371040723981901,0.7198443579766537
