seed,cell_type,spearman,pearson,mae_pp,bias_pp,p95_abs_error_pp,raw_weight_mae
1007,NK cells,0.7768530759468733,0.811983466966439,0.22476437039901748,0.12656888440332995,1.258786857462242,0.0021198559881390622
1007,NKT cells,0.7861775742638099,0.8263301449926476,0.34182570790060923,0.327250058710875,1.4632406743843025,0.00323845015724602
1007,Normal Epithelial,0.8343507729062687,0.9424307527238163,0.5613354643649691,-0.4306050452722199,2.1422812396312616,0.00543498231077703
1007,Plasmablasts,0.999102299155296,0.9995981479727799,0.11224639749253475,0.09728208220857869,0.4960991953090998,0.0010034512902341623
1007,PVL,0.9421327459095977,0.985935725696558,0.17062056774383105,-0.05171707582744224,0.8570237498221346,0.0016326287339023797
1007,T cells CD4+,0.8115815110622953,0.8209569982092998,1.6986834995866835,-1.462323320504178,8.122319143637094,0.01611158818470365
1007,T cells CD8+,0.8586441732201808,0.9249292680038024,0.599910486499499,0.2925829194923079,2.788495346243743,0.00566793468486688
1008,B-cells,0.8182608163843775,0.9357574331254621,0.8019837920928095,0.37275338570604793,2.9954907091355922,0.007682585429019545
1008,CAFs,0.9925918742865886,0.9976278225778143,0.39055221960847847,-0.18660469316607636,1.3688200366030066,0.0036505825360050948
1008,Cancer Epithelial,0.9953050982891817,0.9976074755094655,1.3133232702470417,-0.4817149405816663,3.8488656412820834,0.016332489642905852
1008,Cycling T-cells,0.6898444298890588,0.7061026856500985,1.660807721597478,-1.4881925703469239,3.975691811045619,0.015913386017699205
1008,Endothelial,0.9900245936979876,0.9953754462582326,0.20876704610887528,0.13568415681701812,0.5929657645462663,0.0019923357350217974
1008,Myeloid,0.9968173288668996,0.9980183877029167,0.2843692331625606,0.21549028692499808,0.9258999617061794,0.0026005807775960044
1008,NK cells,0.7279565266527346,0.7387376012906964,0.3347013049967314,0.24251679169602375,2.05876207785955,0.0031757470542208253
1008,NKT cells,0.7740753179832026,0.7812254604803226,0.4003219708611425,0.38275151443548777,1.7305948698277906,0.003801915059761687
1008,Normal Epithelial,0.8974921382692259,0.9676066029701291,0.4944675140226331,-0.3670295278816715,2.0017598339540097,0.004762388318616061
1008,Plasmablasts,0.9985859915995291,0.9975355348457867,0.2763748789826321,0.2508340315405638,1.202947603216246,0.0027609352898322562
1008,PVL,0.9294952262869628,0.9884457598485825,0.15503815193597764,-0.023668732288922398,0.7012567353452627,0.0014976120820569898
1008,T cells CD4+,0.8421504871446527,0.883044309115171,1.8446692914856275,1.3000766469302605,6.034499446170747,0.017699001229281384
1008,T cells CD8+,0.7578348180859418,0.8653070912460602,0.7156456779086806,-0.3528963497851389,3.4196868407747036,0.006799085670484447
1009,B-cells,0.698967381750091,0.8393717653443382,1.291537855015674,0.3503052353549355,3.8750218473988998,0.012501144222664268
