"","B-cells","CAFs","Cancer LumA","Cancer LumB","Cancer Other","Cycling T-cells","Endothelial","Myeloid","NK cells","NKT cells","Normal Epithelial","Plasmablasts","PVL","T cells CD4+","T cells CD8+"
"mix_0016_depth25",7.59926347038944e-05,0.000392816932849085,0.327818621345436,0.269487970267732,0.0187202961288333,0.0157486592803186,7.59926345691543e-05,7.59926345727031e-05,7.59926345626137e-05,0.0207315971636991,0.191515093326305,7.59926376739647e-05,0.0154387386593352,0.00675333533789065,7.59926345691403e-05
"mix_0017_depth100",5.31948441794535e-05,5.31948441498444e-05,5.3194844198408e-05,0.0811435245639148,0.57107779965082,0.0123405458076809,5.31948442102673e-05,5.31948441951751e-05,0.0145822814473219,5.31948441612956e-05,0.177222754031057,5.319484719762e-05,5.31948441869206e-05,5.31948441984082e-05,5.31948443164328e-05
"mix_0017_depth25",7.59926345331926e-05,7.59926345481412e-05,7.59926345691498e-05,0.0625096823260726,0.53323769463335,0.00390024067574812,7.59926345691554e-05,7.59926345688067e-05,0.0149102036156867,7.59926346311015e-05,0.228735062699658,7.59926376882832e-05,0.00152168644514587,0.0012428672709326,7.59926344919573e-05
"mix_0018_depth100",7.59926345612324e-05,0.000724713300561285,0.330456242016702,0.21800305203237,0.000280910080598318,0.0160160414534164,7.5992634569154e-05,7.5992634546264e-05,7.59926345678729e-05,0.00173414938294263,0.301385224832041,7.59926344836466e-05,0.0310753291963326,0.0115461038149638,0.0106392048978718
"mix_0018_depth25",0.0053949675595254,7.59926345602188e-05,0.291937542547408,0.225405448310219,0.0466013235690094,0.00157154565185422,7.59926345691565e-05,0.00735863324998752,7.5992634564598e-05,0.00260192452527374,0.279904843683799,7.59926345686658e-05,0.036874802830345,7.59926345691552e-05,0.00784800143417227
"mix_0019_depth100",0.00173501399042396,3.72363908799172e-05,0.0300458381194391,0.0571445235766304,0.487039441125863,3.72363909388856e-05,3.72363909388872e-05,3.72363908694994e-05,3.72363907617702e-05,3.723639112002e-05,0.189575124392682,3.72363908909492e-05,0.163322669305605,0.0444551346486843,3.72363909151643e-05
"mix_0019_depth25",5.31948441984082e-05,5.3194844189395e-05,0.0159604113474855,0.0462607842295693,0.466991736247359,0.00211653291485228,5.3194844198408e-05,5.31948442065255e-05,5.31948441827101e-05,5.31948452336811e-05,0.221810391121419,5.31948413242928e-05,0.159965976383628,0.046586870264071,5.31948442058423e-05
"mix_0020_depth100",7.59926345480581e-05,0.000232449700789773,0.36557923253263,0.273358132783076,8.17049662232322e-05,0.00401437341116208,7.59926345691541e-05,7.59926341556912e-05,7.59926345355306e-05,0.00441874599707075,0.26978852757858,7.59926318380097e-05,0.0118114588066519,0.0268133178578993,0.00583225458840105
"mix_0020_depth25",7.59926345706986e-05,7.5992634573739e-05,0.305119108260061,0.220263272497086,0.0954873398228781,7.59926345691544e-05,7.59926345691528e-05,7.59926345691543e-05,7.5992634574428e-05,0.00543577293036997,0.285046917383895,7.59926341701174e-05,0.0103210037218354,0.0398883518410959,7.59926345714593e-05
"mix_0021_depth100",7.5992634584765e-05,7.59926346263526e-05,0.313174917943874,0.254648503954448,0.0258224710032888,7.59926345691543e-05,7.59926345451672e-05,7.59926345925111e-05,7.59926345487902e-05,7.59926345147064e-05,0.226002406010405,7.59926335493101e-05,0.0105358712718096,0.0392669470033853,0.0248873189986194
"mix_0021_depth25",7.5992634575435e-05,7.59926352356901e-05,0.307341192388024,0.260104753485354,0.000187172571735141,7.59926345691545e-05,7.59926345691558e-05,7.59926345665001e-05,7.59926345714562e-05,7.59926345880971e-05,0.278997922110314,7.59926378841906e-05,0.009819671900691,0.0446452192535498,0.0191607744717756
"mix_0022_depth100",0.00175171293146908,7.59926345508897e-05,0.274588763559086,0.15509620918406,0.048627846659451,0.0055467315829718,7.59926345691539e-05,0.00648877466944694,7.59926345589244e-05,0.00401227777570328,0.309395004873522,7.59926363975376e-05,0.0178358218756574,0.0966077343666719,7.59926345691548e-05
"mix_0022_depth25",7.59926345691543e-05,0.00421653453666095,0.273180789164463,0.158132998163804,0.00586224878140357,0.00313216311987884,7.59926345691539e-05,0.00640266781554524,7.59926345682764e-05,7.59926345574644e-05,0.34348913290952,7.59926345809067e-05,0.0155346836151326,0.105734805680936,0.00388228026624645
"mix_0023_depth100",7.59926345691537e-05,7.59926345866766e-05,0.340385814388851,0.195931900410169,0.00010883090592854,0.00198106873848452,7.59926345691539e-05,0.00184003241548961,0.0376522177515674,7.59926345704299e-05,0.239049595344248,7.59926338605272e-05,0.0239784796757444,0.0714455398922407,8.19613988059653e-05
"mix_0023_depth25",7.59926345689066e-05,0.000118652676648883,0.354924999024564,0.184482534945928,0.0113079140253971,7.59926345691541e-05,7.59926345691543e-05,0.00430764872773693,0.0334061284433161,0.00168932811408947,0.23735269545701,7.5992634368025e-05,0.027795387011307,0.0740449375811759,7.59926345690398e-05
"mix_0024_depth100",7.59926345691542e-05,7.5992634633924e-05,0.338757738219361,0.229843351429709,7.81565297620321e-05,0.0122432862965396,7.59926345691535e-05,0.0880063987335905,7.59926345410862e-05,7.59926345831863e-05,0.172231154607771,7.59926251081588e-05,0.00263923363329166,0.00111696420572264,0.0176985297305508
"mix_0024_depth25",0.000108560906527363,0.000108560906526199,0.338122842894963,0.216043270529231,0.000108560906527364,0.00652083407936288,0.000108560906527364,0.0929771337349014,0.000108560906528163,0.000108560906527364,0.169928229294641,0.000108560911441844,0.00513296834110098,0.000108560906527354,0.0304452522601921
"mix_0025_depth100",0.0263910261006751,7.59926345927646e-05,0.407141630412086,0.227588525793541,0.0253984399579483,7.59926345691543e-05,7.59926345696129e-05,0.0131413606039838,0.0203087992263228,0.0100306007402966,0.200645648258387,7.59926303965751e-05,0.0119749828044898,0.00247835432783152,7.59926345532843e-05
"mix_0025_depth25",0.0395799001492285,0.000127987996611037,0.422890125987697,0.186357273372619,0.00690290744201664,0.00391582791507297,7.59926345691583e-05,0.00891203064908147,0.0226416438711202,0.0131167281399085,0.218396019115547,7.59926345946544e-05,0.0132706612186269,0.0141162456593576,7.59926345691496e-05
"mix_0026_depth100",0.000108560906527361,0.000108560906502729,0.286736973853459,0.13791121942739,0.0343029845463449,0.000108560906527363,0.000108560906527363,0.0344810306346772,0.000108560906524794,0.0120296923044063,0.215440155619187,0.000108560912293424,0.0309099440840624,0.0832113577993744,0.0234654773209556
"mix_0026_depth25",0.000108560906527365,0.000108560906496903,0.282004655093674,0.159588597202688,0.0543308050966714,0.000108560906527366,0.000108560906527364,0.0373523890229048,0.000108560906527363,0.0226376835281997,0.224793385619532,0.000108560906573094,0.0216749839909623,0.0340172631989892,0.0373256477337994
"mix_0027_depth100",7.59926345700764e-05,7.59926344493901e-05,0.261048010183321,0.188973685237511,7.59926345691545e-05,0.00530155569015535,0.28517030265751,0.00195102999461143,7.59926345304691e-05,0.0022583462505162,0.148130082928074,7.59926379647754e-05,7.59926345691546e-05,7.59926345691526e-05,0.0104223080143864
"mix_0027_depth25",7.59926345691548e-05,7.59926345070154e-05,0.278295384312484,0.213431182386841,7.59926345691523e-05,0.00807806219602938,0.24770016613263,0.00209353042963216,7.59926345812947e-05,0.00158416535445214,0.164022474156635,7.59926286655062e-05,7.59926345691546e-05,7.59926345691538e-05,0.0157119605027692
"mix_0028_depth100",7.59926345828214e-05,7.59926350022442e-05,0.397026678917891,0.25960202710814,7.59926345691527e-05,0.00248679422150643,0.0273787720941492,0.0034876395733699,7.59926345852589e-05,0.00528293465071246,0.207122140563024,7.59926312921024e-05,0.00216927979392231,0.00756089469800424,0.0149722317588517
"mix_0028_depth25",7.59926345666849e-05,7.59926346054862e-05,0.411795243210896,0.233098215681338,7.59926345691507e-05,0.00648177279335298,0.0339736918734835,0.00365139496654577,0.0137327581939535,0.002316430368152,0.242522615363241,7.59926339599956e-05,0.00451009254167874,0.0068508808288374,7.59926345691539e-05
"mix_0029_depth100",7.59926345619959e-05,7.5992634656533e-05,0.328588682126219,0.232709591294601,0.0196295872902453,7.59926345691546e-05,0.00349356756993806,7.59926352966429e-05,7.59926346156572e-05,7.59926345338873e-05,0.270461401127078,7.59926355394708e-05,0.0332381581043939,7.59926345691537e-05,0.0194127738978781
"mix_0029_depth25",7.59926345691536e-05,7.59926345350866e-05,0.288336151695589,0.256632115294039,0.00198177261687542,7.59926345907184e-05,0.010874120095235,7.59926345654844e-05,7.59926345775044e-05,7.5992634597584e-05,0.337720994298406,7.59926394845406e-05,0.00830663105948689,0.00929048593403243,0.0163646444881352
"mix_0030_depth100",0.0195686593305847,7.59926346066684e-05,0.291440350390707,0.178200235896292,0.0924188289144497,7.59926345691545e-05,7.59926345691545e-05,0.00489748698153708,7.59926345911781e-05,0.0048920341702688,0.299132864005469,0.000135303277144956,0.0082998526266187,7.59926345691542e-05,0.0325847554631465
"mix_0030_depth25",0.0188507960700189,7.59926345522753e-05,0.309119355528049,0.19747018496854,0.0834564490545947,0.00984510928455169,7.59926345691545e-05,0.015108712614326,7.59926345727887e-05,7.59926345691546e-05,0.307065890975323,0.000373195313959928,0.00330977764519995,7.59926345691508e-05,0.0416366994329039
"mix_0031_depth100",0.0328823958550993,7.59926343754222e-05,0.366197936104947,0.25841062980165,7.59926345691518e-05,0.00808346252879193,7.59926345670214e-05,7.59926345795638e-05,0.00429106793432923,7.59926345252661e-05,0.251185060132894,0.000498219407245502,0.00901673817415779,0.0244094829845088,7.59926345696055e-05
