donor_id,method,approach,depth_fraction,original_type,coarse_type,n_spots,dominant_matches,mean_correct_weight,mean_T_weight,mean_NK_weight
CID4463,RCTD,fine_fit_then_sum,1.0,Cancer Epithelial,Cancer Epithelial,5,5,0.9394790755879197,5.090346990711304e-05,1.2673605253979762e-05
CID4463,RCTD,fine_fit_then_sum,1.0,Cycling T-cells,T cells,5,5,0.885629716150356,0.885629716150356,0.0628864462077617
CID4463,RCTD,fine_fit_then_sum,1.0,Endothelial,Endothelial,5,5,0.9915579397828713,0.002557984985640594,3.559861832150294e-05
CID4463,RCTD,fine_fit_then_sum,1.0,Myeloid,Myeloid,5,5,0.99167797439229,0.007956628658380338,4.55795825262028e-05
CID4463,RCTD,fine_fit_then_sum,1.0,NKT cells,T cells,5,5,0.9763948150659518,0.9763948150659518,0.0027977071412059983
CID4463,RCTD,fine_fit_then_sum,1.0,Normal Epithelial,Normal Epithelial,5,5,0.6632507826171847,0.00012210309788714886,4.959695915815765e-05
CID4463,RCTD,fine_fit_then_sum,1.0,PVL,PVL,5,5,0.9990516304783302,0.0006929240008152866,3.1288891577148165e-05
CID4463,RCTD,fine_fit_then_sum,1.0,T cells CD4+,T cells,5,5,0.9166141055803972,0.9166141055803972,0.015008500791327008
CID4463,RCTD,fine_fit_then_sum,1.0,T cells CD8+,T cells,5,5,0.9382718654066137,0.9382718654066137,0.00013208074374495898
CID4463,RCTD,fine_fit_then_sum,0.25,CAFs,CAFs,5,5,0.978529816715642,8.221577494486937e-05,0.00028419527905888695
CID4463,RCTD,fine_fit_then_sum,0.25,Cancer Epithelial,Cancer Epithelial,5,5,0.9007854299731921,0.0005270721494628713,0.00010132251475139809
CID4463,RCTD,fine_fit_then_sum,0.25,Cycling T-cells,T cells,5,5,0.8258431840000954,0.8258431840000954,0.08582149063063053
CID4463,RCTD,fine_fit_then_sum,0.25,Endothelial,Endothelial,5,5,0.9751730688315039,0.0025356942618537347,0.0010815381005859375
CID4463,RCTD,fine_fit_then_sum,0.25,Myeloid,Myeloid,5,5,0.9887767965104735,0.010783808045677001,4.747998937583702e-05
CID4463,RCTD,fine_fit_then_sum,0.25,NKT cells,T cells,5,5,0.9791195452550184,0.9791195452550184,0.016523788273579636
CID4463,RCTD,fine_fit_then_sum,0.25,Normal Epithelial,Normal Epithelial,5,5,0.6932179367896593,0.00023116273533128093,0.0002223065037643508
CID4463,RCTD,fine_fit_then_sum,0.25,PVL,PVL,5,5,0.9995460780792484,0.0001376520594605681,3.441301674862024e-05
CID4463,RCTD,fine_fit_then_sum,0.25,T cells CD4+,T cells,5,5,0.897085441014832,0.897085441014832,0.02479557150165943
CID4463,RCTD,fine_fit_then_sum,0.25,T cells CD8+,T cells,5,5,0.9054204600702619,0.9054204600702619,0.00010456025438867252
CID4463,RCTD,coarse_reference_refit,1.0,CAFs,CAFs,5,5,0.999390996559459,2.9524778425217504e-05,2.952478048315604e-05
CID4463,RCTD,coarse_reference_refit,1.0,Cancer Epithelial,Cancer Epithelial,5,5,0.9432756191884797,1.880705750665234e-05,1.880869201962258e-05
CID4463,RCTD,coarse_reference_refit,1.0,Cycling T-cells,T cells,5,5,0.752138542751737,0.752138542751737,0.172337035288822
CID4463,RCTD,coarse_reference_refit,1.0,Endothelial,Endothelial,5,5,0.9950766453060945,0.0011790311774109955,4.0899218664053406e-05
CID4463,RCTD,coarse_reference_refit,1.0,Myeloid,Myeloid,5,5,0.9992435320709138,0.00030443928909739445,5.470794623273898e-05
CID4463,RCTD,coarse_reference_refit,1.0,NKT cells,T cells,5,2,0.461976899133355,0.461976899133355,0.5248328308414212
CID4463,RCTD,coarse_reference_refit,1.0,Normal Epithelial,Normal Epithelial,5,5,0.6687519446361627,2.9855149413426138e-05,4.8503671291284414e-05
CID4463,RCTD,coarse_reference_refit,1.0,PVL,PVL,5,5,0.999229012712685,0.0004931050200273982,3.4731341323438795e-05
CID4463,RCTD,coarse_reference_refit,1.0,T cells CD4+,T cells,5,5,0.9023378310407543,0.9023378310407543,0.00602459101774238
CID4463,RCTD,coarse_reference_refit,1.0,T cells CD8+,T cells,5,5,0.8066599719275811,0.8066599719275811,0.1197305919258675
CID4463,RCTD,coarse_reference_refit,0.25,CAFs,CAFs,5,5,0.9924540323684603,3.077064507235932e-05,0.0001704457049115413
CID4463,RCTD,coarse_reference_refit,0.25,Cancer Epithelial,Cancer Epithelial,5,5,0.9031472694191782,4.6913178668070555e-05,0.00011501972112847275
CID4463,RCTD,coarse_reference_refit,0.25,Cycling T-cells,T cells,5,5,0.7151569075070918,0.7151569075070918,0.175335479550475
CID4463,RCTD,coarse_reference_refit,0.25,Endothelial,Endothelial,5,5,0.9821313308483193,0.0015494926959487441,0.0008177967083942128
CID4463,RCTD,coarse_reference_refit,0.25,Myeloid,Myeloid,5,5,0.998249123539658,0.0011929776887667969,6.246972083212026e-05
CID4463,RCTD,coarse_reference_refit,0.25,NKT cells,T cells,5,2,0.46752529192271786,0.46752529192271786,0.5301948814085178
CID4463,RCTD,coarse_reference_refit,0.25,Normal Epithelial,Normal Epithelial,5,5,0.7019779960236374,6.77934700112448e-05,0.00022476875075281636
CID4463,RCTD,coarse_reference_refit,0.25,PVL,PVL,5,5,0.9996638830855724,3.5651443828187e-05,3.5651445070216096e-05
CID4463,RCTD,coarse_reference_refit,0.25,T cells CD4+,T cells,5,5,0.8795022614770653,0.8795022614770653,0.015653474092036802
CID4463,RCTD,coarse_reference_refit,0.25,T cells CD8+,T cells,5,4,0.7618275186226391,0.7618275186226391,0.1332534720073732
CID4463,NNLS,fine_fit_then_sum,1.0,CAFs,CAFs,5,5,0.9543164445225983,0.03217110216392206,0.0
CID4463,NNLS,fine_fit_then_sum,1.0,Cancer Epithelial,Cancer Epithelial,5,0,0.040475430137295085,0.2587888078300048,0.0
CID4463,NNLS,fine_fit_then_sum,1.0,Cycling T-cells,T cells,5,5,1.0,1.0,0.0
CID4463,NNLS,fine_fit_then_sum,1.0,Endothelial,Endothelial,5,5,0.7642303372191969,0.05436515277122652,0.0
CID4463,NNLS,fine_fit_then_sum,1.0,Myeloid,Myeloid,5,5,1.0,0.0,0.0
CID4463,NNLS,fine_fit_then_sum,1.0,NKT cells,T cells,5,5,0.9687325531221251,0.9687325531221251,0.0
CID4463,NNLS,fine_fit_then_sum,1.0,Normal Epithelial,Normal Epithelial,5,5,0.9935591508570738,0.0,0.0
CID4463,NNLS,fine_fit_then_sum,1.0,PVL,PVL,5,5,0.9742221748621495,0.014027460318805422,0.0
CID4463,NNLS,fine_fit_then_sum,1.0,T cells CD4+,T cells,5,5,0.8668608058779613,0.8668608058779613,0.0
CID4463,NNLS,fine_fit_then_sum,1.0,T cells CD8+,T cells,5,5,0.8426790937751125,0.8426790937751125,0.0
CID4463,NNLS,fine_fit_then_sum,0.25,CAFs,CAFs,5,5,0.9496531970145426,0.04210383052404992,0.0
CID4463,NNLS,fine_fit_then_sum,0.25,Cancer Epithelial,Cancer Epithelial,5,0,0.039094692462848385,0.26056609156515387,0.0
CID4463,NNLS,fine_fit_then_sum,0.25,Cycling T-cells,T cells,5,5,0.9999889660597269,0.9999889660597269,0.0
CID4463,NNLS,fine_fit_then_sum,0.25,Endothelial,Endothelial,5,5,0.7933319924004177,0.04191030029078454,0.0
CID4463,NNLS,fine_fit_then_sum,0.25,Myeloid,Myeloid,5,5,1.0,0.0,0.0
CID4463,NNLS,fine_fit_then_sum,0.25,NKT cells,T cells,5,5,0.9635217650582971,0.9635217650582971,0.0
CID4463,NNLS,fine_fit_then_sum,0.25,Normal Epithelial,Normal Epithelial,5,5,0.9924327569988464,0.0,0.0
CID4463,NNLS,fine_fit_then_sum,0.25,PVL,PVL,5,5,0.9798881611100102,0.01001684965188762,0.0
CID4463,NNLS,fine_fit_then_sum,0.25,T cells CD4+,T cells,5,5,0.8572296115755285,0.8572296115755285,0.0
CID4463,NNLS,fine_fit_then_sum,0.25,T cells CD8+,T cells,5,5,0.8121585486291755,0.8121585486291755,0.0
CID4463,NNLS,coarse_reference_refit,1.0,CAFs,CAFs,5,5,0.9778380788464254,0.0,0.0
CID4463,NNLS,coarse_reference_refit,1.0,Cancer Epithelial,Cancer Epithelial,5,0,0.06550890704618192,0.0,0.0
CID4463,NNLS,coarse_reference_refit,1.0,Cycling T-cells,T cells,5,0,0.1570061873617129,0.1570061873617129,0.0
