donor_id,method,approach,truth,scenario,depth_fraction,cell_type,n_spots,mae_pp,rmse_pp,bias_pp,present_mae_pp,n_absent,absent_mean_prediction_pct,absent_ge1pct_fraction
CID4067,RCTD,fine_fit_then_sum,rna,pure,1.0,T cells,55,3.866544714581212,8.596940916593162,0.2776143446763276,4.9347792586192165,35,3.256124975130924,0.34285714285714286
CID4067,RCTD,fine_fit_then_sum,cells,factorial,0.25,B-cells,189,1.2471243153845342,3.0671583861197327,-0.9914061393974041,7.834856591736784,162,0.14916893599249273,0.043209876543209874
CID4067,RCTD,fine_fit_then_sum,cells,factorial,0.25,CAFs,189,4.911510415937909,7.996674004406235,0.11238685629326073,7.342282915780473,63,0.049965416252780295,0.0
CID4067,RCTD,fine_fit_then_sum,cells,factorial,0.25,Cancer Epithelial,189,18.678248094590412,21.31761119297593,-18.099869246051572,18.678248094590412,0,,
CID4067,RCTD,fine_fit_then_sum,cells,factorial,0.25,Endothelial,189,0.9811178399586945,2.840302261510129,-0.6169274405539336,6.461685884268872,162,0.06768983257366501,0.018518518518518517
CID4067,RCTD,fine_fit_then_sum,cells,factorial,0.25,Myeloid,189,0.8543739510728964,2.0096722046150965,0.011951158275260365,4.479230850660322,162,0.2502311344749921,0.030864197530864196
CID4067,RCTD,fine_fit_then_sum,cells,factorial,0.25,NK cells,189,1.5106796745301982,3.1849466561780657,-0.6983058561049165,7.731449357222901,162,0.4738847274147476,0.1728395061728395
CID4067,RCTD,fine_fit_then_sum,cells,factorial,0.25,Normal Epithelial,189,36.75726866901594,38.259992393845245,36.75726866901594,,189,36.757268669015936,0.9947089947089947
CID4067,RCTD,fine_fit_then_sum,cells,factorial,0.25,PVL,189,8.003689672845917,8.735291251052601,-7.118640879874405,8.003689672845917,0,,
CID4067,RCTD,fine_fit_then_sum,cells,factorial,0.25,Plasmablasts,189,0.06216856191041733,0.12402111456152526,0.06216856191041733,,189,0.062168561910417336,0.0
