variant,method,truth,scenario,depth_fraction,cell_type,n_spots,mae_pp,rmse_pp,bias_pp,present_mae_pp,absent_mean_prediction_pct,absent_ge1pct_fraction,report_donor,donor_id,n_present,n_absent
donor_balanced,RCTD,rna,factorial,0.25,Cycling T-cells,162,1.4168234648855644,3.276956213490392,-0.8091667364652946,6.677970604052577,0.3645940370521618,0.074074074074074,CID4463,CID4463,27.0,135.0
donor_balanced,RCTD,rna,factorial,0.25,Endothelial,162,0.3002814674258357,0.9041802615015788,-0.2518543105004488,1.6832110788426036,0.023695545142482,0.0074074074074074,CID4463,CID4463,27.0,135.0
donor_balanced,RCTD,rna,factorial,0.25,Myeloid,162,0.5719582404932674,2.1026421067869596,-0.40212766118019,3.37713989235612,0.0109219101206968,0.0,CID4463,CID4463,27.0,135.0
donor_balanced,RCTD,rna,factorial,0.25,NK cells,162,0.4942380952230368,1.0564631486601812,0.1916764375396519,1.1751818404509378,0.3580493461774566,0.1185185185185185,CID4463,CID4463,27.0,135.0
donor_balanced,RCTD,rna,factorial,0.25,NKT cells,162,0.4756894461142268,0.9541466588000084,0.2644538760326324,0.7705239952228378,0.4167225362925046,0.1407407407407407,CID4463,CID4463,27.0,135.0
donor_balanced,RCTD,rna,factorial,0.25,Normal Epithelial,162,5.066310304592253,6.25413053522055,5.066310304592253,,5.066310304592254,0.8580246913580247,CID4463,CID4463,0.0,162.0
donor_balanced,RCTD,rna,factorial,0.25,PVL,162,1.5757271750318973,1.9641642968341808,-1.1893929568953985,1.5757271750318973,,,CID4463,CID4463,162.0,0.0
donor_balanced,RCTD,rna,factorial,0.25,Plasmablasts,162,0.0345103574711742,0.0684942337441671,0.0345103574711742,,0.0345103574711742,0.0,CID4463,CID4463,0.0,162.0
donor_balanced,RCTD,rna,factorial,0.25,T cells CD4+,162,1.515294142877074,2.8414395602734728,1.3172491393172392,2.0031978766353977,1.4177133961254094,0.3333333333333333,CID4463,CID4463,27.0,135.0
donor_balanced,RCTD,rna,factorial,0.25,T cells CD8+,162,1.336761830098978,2.1871974975257817,-1.0432540711992817,1.987337026678588,0.0356114369397581,0.0,CID4463,CID4463,108.0,54.0
donor_balanced,RCTD,rna,factorial,0.25,Epithelial total,162,2.2048043002948368,2.95595565077219,0.7274697970528602,2.2048043002948368,,,CID4463,CID4463,162.0,0.0
epithelial_split,RCTD,rna,factorial,0.25,B-cells,162,0.2901343352139021,0.8140618081207345,0.2901343352139021,,0.2901343352139022,0.0864197530864197,CID4463,CID4463,0.0,162.0
epithelial_split,RCTD,rna,factorial,0.25,CAFs,162,1.296133774346095,2.080586559814593,-0.7025683090293166,1.937317715529656,0.013765891978972,0.0,CID4463,CID4463,108.0,54.0
epithelial_split,RCTD,rna,factorial,0.25,Cancer Epithelial,162,3.901441152835193,4.834093633831663,-3.070422899016166,3.901441152835193,,,CID4463,CID4463,162.0,0.0
epithelial_split,RCTD,rna,factorial,0.25,Cycling T-cells,162,1.301373436643504,3.381681433295574,-1.221397617395555,7.568313162117179,0.0479854915487693,0.0148148148148148,CID4463,CID4463,27.0,135.0
epithelial_split,RCTD,rna,factorial,0.25,Endothelial,162,0.3201651931810521,0.9674808274358764,-0.2724231539339108,1.8096196360415688,0.0222743046089488,0.0074074074074074,CID4463,CID4463,27.0,135.0
epithelial_split,RCTD,rna,factorial,0.25,Myeloid,162,0.5626897038657217,2.1259266036469944,-0.3952458688984158,3.3310121809215665,0.0090252084545528,0.0,CID4463,CID4463,27.0,135.0
epithelial_split,RCTD,rna,factorial,0.25,NK cells,162,0.4381091608182446,0.9932467055116856,0.1382769612931086,1.1495063447197034,0.2958297240379529,0.0888888888888888,CID4463,CID4463,27.0,135.0
epithelial_split,RCTD,rna,factorial,0.25,NKT cells,162,0.5102141108589751,1.1255043327063958,0.3756661929425156,0.6429058773618166,0.4836757575584067,0.1407407407407407,CID4463,CID4463,27.0,135.0
epithelial_split,RCTD,rna,factorial,0.25,Normal Epithelial,162,4.44674129528254,5.584339084153382,4.44674129528254,,4.446741295282539,0.8148148148148148,CID4463,CID4463,0.0,162.0
epithelial_split,RCTD,rna,factorial,0.25,PVL,162,1.3815023775452369,1.932584731312707,-0.2572421059975572,1.3815023775452369,,,CID4463,CID4463,162.0,0.0
epithelial_split,RCTD,rna,factorial,0.25,Plasmablasts,162,0.0618745232451486,0.1203029534024591,0.0618745232451486,,0.0618745232451486,0.0,CID4463,CID4463,0.0,162.0
epithelial_split,RCTD,rna,factorial,0.25,T cells CD4+,162,1.578223622657889,2.9529108138960893,1.3415957071810802,1.9497182485985136,1.5039246974697638,0.2962962962962963,CID4463,CID4463,27.0,135.0
epithelial_split,RCTD,rna,factorial,0.25,T cells CD8+,162,1.2416054856484309,2.0335628247511663,-0.7349890608873655,1.8394388748687067,0.0459387072078783,0.0,CID4463,CID4463,108.0,54.0
